,event_country,report_country,art_num
0,COD,DEU,3
1,COD,USA,64
2,COD,PHL,9
3,COD,CAN,17
4,COD,TUR,11
5,COD,PAK,18
6,COD,THA,2
7,COD,QAT,2
8,COD,NGA,58
9,COD,GBR,23
10,COD,MEX,40
11,COD,SGP,14
12,COD,MYS,4
13,COD,ZAF,68
14,COD,KEN,6
15,COD,UGA,19
16,COD,IND,16
17,COD,BGD,9
18,COD,JPN,3
19,COD,ISR,13
20,COD,FRA,22
21,COD,SLE,5
22,COD,AUS,8
23,COD,AGO,2
24,COD,ZWE,8
25,COD,ZMB,1
26,COD,GHA,5
27,COD,RWA,5
28,COD,VAT,7
29,COD,GRC,2
30,COD,NPL,2
31,COD,MWI,1
32,COD,LBN,1
33,COD,AZE,3
34,COD,IRN,2
35,COD,IDN,1
36,COD,RUS,1
37,COD,SOM,1
38,COD,LBR,1
39,COD,SAU,1
40,COD,DOM,9
41,COD,URY,1
42,COD,ARG,6
43,COD,ESP,14
44,COD,PER,1
45,COD,PAN,3
46,COD,CRI,2
47,COD,ECU,1
48,COD,HND,2
49,COD,COD,9
50,COD,SEN,5
51,COD,BEN,3
52,COD,CHE,15
53,COD,BEL,10
54,COD,NCL,7
55,COD,DZA,3
56,COD,CMR,4
57,COD,COG,4
58,COD,TCD,2
59,COD,TUN,1
60,COD,CIV,2
61,ISR,ISR,120
62,ISR,UKR,1
63,ISR,CAN,10
64,ISR,TWN,2
65,ISR,USA,19
66,ISR,DEU,1
67,ISR,RUS,3
68,ISR,AUS,4
69,ISR,PAK,5
70,ISR,EGY,1
71,ISR,IND,4
72,ISR,NGA,1
73,ISR,LBN,8
74,ISR,JOR,3
75,ISR,MEX,9
76,ISR,GBR,4
77,ISR,KOR,1
78,ISR,SGP,1
79,ISR,ZAF,7
80,ISR,PSE,9
81,ISR,SAU,3
82,ISR,IRN,3
83,ISR,TUR,1
84,ISR,MAC,1
85,ISR,KEN,1
86,ISR,ARE,3
87,ISR,IRL,1
88,ISR,MLT,1
89,ISR,MYS,2
90,ISR,COL,1
91,ISR,ARG,5
92,ISR,DOM,5
93,ISR,ESP,5
94,ISR,CHL,1
95,ISR,PAN,4
96,ISR,NCL,1
97,ISR,BEL,1
98,AFG,AFG,2585
99,AFG,USA,1395
100,AFG,GBR,446
101,AFG,MEX,370
102,AFG,ARE,34
103,AFG,ISR,94
104,AFG,MYS,159
105,AFG,SGP,224
106,AFG,ZAF,299
107,AFG,PHL,140
108,AFG,FRA,161
109,AFG,IND,1273
110,AFG,CAN,432
111,AFG,PAK,922
112,AFG,LBN,167
113,AFG,NGA,369
114,AFG,KGZ,209
115,AFG,AUS,183
116,AFG,KAZ,228
117,AFG,TKM,249
118,AFG,AZE,202
119,AFG,TJK,202
120,AFG,TWN,49
121,AFG,KEN,30
122,AFG,BGD,168
123,AFG,MWI,5
124,AFG,NLD,3
125,AFG,RUS,132
126,AFG,TUR,53
127,AFG,EGY,16
128,AFG,IRN,97
129,AFG,GHA,17
130,AFG,ARM,62
131,AFG,UZB,5
132,AFG,NZL,154
133,AFG,ZWE,7
134,AFG,IDN,13
135,AFG,CYP,28
136,AFG,DEU,16
137,AFG,QAT,12
138,AFG,MAC,6
139,AFG,JOR,11
140,AFG,SLE,5
141,AFG,SAU,35
142,AFG,HKG,8
143,AFG,JAM,2
144,AFG,NPL,33
145,AFG,LBR,7
146,AFG,CHN,30
147,AFG,KOR,1
148,AFG,THA,15
149,AFG,VNM,4
150,AFG,LAO,1
151,AFG,PRI,52
152,AFG,IRL,34
153,AFG,BGR,3
154,AFG,SSD,1
155,AFG,JPN,15
156,AFG,KHM,1
157,AFG,TON,2
158,AFG,NRU,2
159,AFG,FJI,8
160,AFG,SUR,6
161,AFG,ARG,193
162,AFG,BRA,7
163,AFG,LCA,4
164,AFG,BHR,19
165,AFG,MLT,4
166,AFG,RWA,1
167,AFG,ATA,1
168,AFG,KWT,6
169,AFG,HTI,2
170,AFG,OMN,7
171,AFG,MMR,4
172,AFG,UGA,4
173,AFG,ESP,623
174,AFG,SYR,1
175,AFG,NOR,4
176,AFG,CUB,7
177,AFG,DOM,91
178,AFG,CRI,26
179,AFG,PAN,40
180,AFG,PER,15
181,AFG,COL,20
182,AFG,CHL,31
183,AFG,VEN,61
184,AFG,URY,18
185,AFG,NIC,8
186,AFG,HND,11
187,AFG,SLV,11
188,AFG, VE,2
189,AFG,BOL,6
190,AFG,ECU,13
191,AFG,ITA,11
192,AFG, ES,6
193,AFG,CHE,111
194,AFG,MAR,10
195,AFG,SEN,14
196,AFG,LUX,43
197,AFG,DZA,14
198,AFG,NCL,36
199,AFG,BEL,112
200,AFG,MUS,1
201,AFG,CZE,3
202,AFG,TCD,4
203,AFG,CAF,4
204,AFG,CMR,4
205,AFG,BEN,9
206,AFG,GIN,2
207,AFG,TUN,1
208,AUS,AUS,315
209,AUS,ISR,1
210,AUS,USA,8
