,event,article number,death
0,attack-2020-05-31-nigeria,1358,13
1,attack-2020-05-21-united states,1182,1
2,attack-2020-01-06-nigeria,1002,30
3,attack-2020-02-09-nigeria,939,30
4,attack-2020-05-12-afghanistan,928,24
5,attack-2020-01-26-nigeria,924,14
6,attack-2020-01-18-nigeria,905,25
7,attack-2020-04-16-nigeria,904,14
8,attack-2020-01-03-nigeria,900,29
9,attack-2020-02-19-germany,897,2
10,attack-2020-02-14-nigeria,879,21
11,attack-2020-05-17-nigeria,822,20
12,attack-2020-05-12-nigeria,804,17
13,attack-2020-04-20-nigeria,772,13
14,attack-2020-05-14-nigeria,730,14
15,attack-2020-05-10-nigeria,729,20
16,attack-2020-01-19-india,718,7
17,attack-2020-02-02-united kingdom,718,1
18,attack-2020-01-09-nigeria,697,12
19,attack-2020-04-21-nigeria,691,28
20,attack-2020-05-10-afghanistan,674,11
21,attack-2020-03-04-nigeria,673,18
22,attack-2020-01-12-nigeria,612,11
23,attack-2020-01-05-kenya,611,7
24,attack-2020-03-03-afghanistan,594,14
25,attack-2020-03-04-afghanistan,584,12
26,attack-2020-01-22-iran,560,1
27,attack-2020-03-23-nigeria,526,179
28,attack-2020-05-17-united kingdom,470,1
29,attack-2020-05-03-venezuela,465,6
30,attack-2020-05-15-afghanistan,461,16
31,attack-2020-03-25-afghanistan,460,28
32,attack-2020-03-06-afghanistan,435,33
33,attack-2020-03-05-afghanistan,400,15
34,attack-2020-05-17-afghanistan,399,11
35,attack-2020-05-16-afghanistan,396,12
36,attack-2020-05-18-afghanistan,357,14
37,attack-2020-01-03-united kingdom,348,1
38,attack-2020-02-20-syria,329,27
39,attack-2020-03-05-syria,325,150
40,attack-2020-03-21-india,294,20
41,attack-2020-05-01-afghanistan,268,18
42,attack-2020-05-25-republic of south africa,268,1
43,attack-2020-05-03-afghanistan,254,14
44,attack-2020-05-04-afghanistan,249,17
45,attack-2020-05-02-afghanistan,246,18
46,attack-2020-01-07-kenya,245,6
47,attack-2020-05-19-afghanistan,244,11
48,attack-2020-05-16-new zealand,241,0
49,attack-2020-04-29-afghanistan,230,15
50,attack-2020-05-27-afghanistan,225,15
51,attack-2020-04-28-syria,215,40
52,attack-2020-03-26-afghanistan,209,12
53,attack-2020-05-30-afghanistan,209,19
54,attack-2020-03-06-ukraine,207,1
55,attack-2020-05-25-canada,205,0
56,attack-2020-01-14-syria,201,13
57,attack-2020-04-28-afghanistan,199,13
58,attack-2020-02-18-ukraine,199,1
59,attack-2020-05-02-republic of south africa,193,1
60,attack-2020-04-04-france,192,2
61,attack-2020-01-03-france,190,2
62,attack-2020-03-08-afghanistan,186,11
63,attack-2020-01-18-yemen,184,116
64,attack-2020-03-01-australia,184,0
65,attack-2020-03-27-afghanistan,183,11
66,attack-2020-01-10-pakistan,180,16
67,attack-2020-05-29-afghanistan,177,35
68,attack-2020-02-24-canada,173,1
69,attack-2020-01-02-syria,172,15
70,attack-2020-04-27-afghanistan,164,11
71,attack-2020-03-28-afghanistan,158,18
72,attack-2020-05-09-australia,154,0
73,attack-2020-03-06-tunisia,152,3
74,attack-2020-03-30-afghanistan,150,17
75,attack-2020-04-20-afghanistan,147,11
76,attack-2020-02-05-iraq,145,11
77,attack-2020-03-29-afghanistan,143,11
78,attack-2020-04-19-afghanistan,143,11
79,attack-2020-02-18-pakistan,138,16
80,attack-2020-05-08-libya,136,2
81,attack-2020-04-07-afghanistan,129,18
82,attack-2020-03-20-afghanistan,126,25
83,attack-2020-04-24-philippines,125,4
84,attack-2020-04-22-afghanistan,123,13
85,attack-2020-05-22-australia,123,0
86,attack-2020-01-01-afghanistan,121,13
87,attack-2020-05-22-afghanistan,120,16
88,attack-2020-02-05-yemen,119,15
89,attack-2020-02-14-afghanistan,118,11
90,attack-2020-04-25-lebanon,117,0
91,attack-2020-04-05-afghanistan,116,16
92,attack-2020-01-09-niger,115,166
93,attack-2020-04-23-afghanistan,109,11
94,attack-2020-03-28-saudi arabia,108,0
95,attack-2020-02-21-canada,107,1
96,attack-2020-01-21-israel,105,3
97,attack-2020-02-16-afghanistan,104,12
98,attack-2020-04-17-philippines,100,12
99,attack-2020-01-04-syria,96,14
100,attack-2020-04-20-china,91,0
101,attack-2020-01-17-somalia,89,19
102,attack-2020-01-26-mali,89,24
103,attack-2020-02-16-burkina faso,87,24
104,attack-2020-01-04-burkina faso,82,14
105,attack-2020-04-24-democratic republic of the congo,77,17
106,attack-2020-02-21-afghanistan,76,13
107,attack-2020-03-16-afghanistan,76,26
108,attack-2020-01-02-afghanistan,76,11
109,attack-2020-03-21-afghanistan,73,12
110,attack-2020-05-29-burkina faso,70,15
111,attack-2020-01-12-thailand,69,2
112,attack-2020-03-11-italy,69,0
113,attack-2020-05-30-burkina faso,67,13
114,attack-2020-02-23-haiti,65,0
115,attack-2020-05-14-turkey,65,2
116,attack-2020-03-23-chad,65,98
117,attack-2020-05-07-syria,65,11
118,attack-2020-04-25-pakistan,64,11
119,attack-2020-03-17-syria,64,21
120,attack-2020-01-29-democratic republic of the congo,62,11
121,attack-2020-05-10-syria,61,22
122,attack-2020-01-20-burkina faso,59,32
123,attack-2020-05-26-israel,58,0
124,attack-2020-02-14-mali,58,31
125,attack-2020-02-10-yemen,58,13
126,attack-2020-05-25-democratic republic of the congo,57,14
127,attack-2020-04-09-iraq,54,8
128,attack-2020-05-26-democratic republic of the congo,54,26
129,attack-2020-03-02-israel,53,1
130,attack-2020-05-16-democratic republic of the congo,51,20
131,attack-2020-05-16-mexico,50,2
132,attack-2020-03-16-italy,50,0
133,attack-2020-05-15-iran,49,0
134,attack-2020-02-03-afghanistan,47,17
135,attack-2020-05-13-myanmar,47,2
136,attack-2020-05-27-syria,46,19
137,attack-2020-04-13-kenya,46,4
138,attack-2020-05-12-syria,46,22
139,attack-2020-02-09-benin,45,1
140,attack-2020-01-25-burkina faso,45,36
141,attack-2020-04-02-china,44,0
142,attack-2020-02-21-saudi arabia,44,0
143,attack-2020-04-05-mali,44,15
144,attack-2020-01-28-libya,43,2
145,attack-2020-04-01-mexico,42,1
146,attack-2020-01-15-afghanistan,42,21
147,attack-2020-04-06-mali,42,35
148,attack-2020-04-21-ireland,42,0
149,attack-2020-01-22-sudan,41,32
150,attack-2020-05-08-yemen,41,48
151,attack-2020-03-10-ukraine,39,1
152,attack-2020-01-30-democratic republic of the congo,39,11
153,attack-2020-04-09-syria,38,29
154,attack-2020-04-11-yemen,36,38
155,attack-2020-02-02-somalia,35,18
156,attack-2020-05-31-yemen,35,30
