,event,article number,death
0,attack-2020-05-03-venezuela,1208,6
1,attack-2020-05-16-mexico,959,2
2,attack-2020-04-24-mexico,658,2
3,attack-2020-04-01-mexico,580,1
4,attack-2020-02-19-germany,489,2
5,attack-2020-05-21-united states,444,1
6,attack-2020-02-02-united kingdom,335,1
7,attack-2020-02-17-colombia,234,7
8,attack-2020-05-12-afghanistan,206,24
9,attack-2020-01-03-france,202,2
10,attack-2020-03-07-venezuela,194,0
11,attack-2020-05-10-afghanistan,185,11
12,attack-2020-01-16-venezuela,173,8
13,attack-2020-05-19-chile,168,0
14,attack-2020-01-17-peru,164,0
15,attack-2020-03-04-afghanistan,160,12
16,attack-2020-03-03-afghanistan,154,14
17,attack-2020-04-29-colombia,126,4
18,attack-2020-03-05-syria,115,150
19,attack-2020-02-20-syria,104,27
20,attack-2020-04-04-france,104,2
21,attack-2020-03-06-afghanistan,104,33
22,attack-2020-01-22-iran,93,1
23,attack-2020-03-05-afghanistan,93,15
24,attack-2020-04-28-syria,90,40
25,attack-2020-02-23-haiti,88,0
26,attack-2020-05-31-ecuador,76,0
27,attack-2020-02-05-yemen,74,15
28,attack-2020-01-05-kenya,71,7
29,attack-2020-01-14-syria,64,13
30,attack-2020-05-13-chile,63,0
31,attack-2020-02-18-ukraine,59,1
32,attack-2020-02-12-paraguay,57,1
33,attack-2020-04-28-brazil,56,0
34,attack-2020-05-15-afghanistan,55,16
35,attack-2020-03-25-afghanistan,54,28
36,attack-2020-04-03-colombia,54,4
37,attack-2020-01-04-syria,50,14
38,attack-2020-02-05-brazil,48,1
39,attack-2020-05-09-australia,47,0
40,attack-2020-05-17-united kingdom,45,1
41,attack-2020-01-26-mali,43,24
42,attack-2020-04-06-mali,43,35
43,attack-2020-04-20-china,42,0
44,attack-2020-05-17-afghanistan,41,11
45,attack-2020-01-19-india,39,7
46,attack-2020-05-16-afghanistan,39,12
47,attack-2020-04-05-mali,39,15
48,attack-2020-03-11-italy,38,0
49,attack-2020-01-02-syria,36,15
50,attack-2020-05-18-afghanistan,36,14
51,attack-2020-01-01-ghana,34,1
52,attack-2020-03-08-algeria,33,2
53,attack-2020-02-14-mali,32,31
54,attack-2020-02-08-ecuador,31,0
55,attack-2020-04-02-china,31,0
56,attack-2020-01-10-pakistan,31,16
57,attack-2020-05-13-brazil,31,1
58,attack-2020-05-08-libya,30,2
59,attack-2020-02-09-nigeria,30,30
60,attack-2020-03-08-afghanistan,30,11
61,attack-2020-01-18-yemen,28,116
62,attack-2020-02-10-nicaragua,27,0
63,attack-2020-03-16-italy,27,0
64,attack-2020-02-16-burkina faso,27,24
65,attack-2020-01-09-niger,26,166
66,attack-2020-02-17-nicaragua,25,1
67,attack-2020-05-23-poland,25,0
68,attack-2020-03-29-afghanistan,24,11
69,attack-2020-04-19-afghanistan,24,11
70,attack-2020-03-06-ukraine,24,1
71,attack-2020-04-20-afghanistan,23,11
72,attack-2020-05-30-afghanistan,22,19
73,attack-2020-02-19-chad,22,43
74,attack-2020-05-10-syria,22,22
75,attack-2020-03-19-mali,21,29
76,attack-2020-05-22-afghanistan,20,16
77,attack-2020-03-27-afghanistan,20,11
78,attack-2020-05-27-afghanistan,20,15
79,attack-2020-05-29-afghanistan,20,35
80,attack-2020-03-28-afghanistan,19,18
81,attack-2020-01-25-burkina faso,19,36
82,attack-2020-05-30-burkina faso,19,13
83,attack-2020-04-24-democratic republic of the congo,19,17
84,attack-2020-02-14-nigeria,19,21
85,attack-2020-03-26-afghanistan,18,12
86,attack-2020-04-08-turkey,18,5
87,attack-2020-03-20-afghanistan,18,25
88,attack-2020-04-16-nigeria,18,14
89,attack-2020-05-07-syria,18,11
90,attack-2020-05-29-burkina faso,17,15
91,attack-2020-03-21-india,16,20
92,attack-2020-04-27-afghanistan,16,11
93,attack-2020-01-03-united kingdom,16,1
94,attack-2020-05-02-afghanistan,16,18
95,attack-2020-02-19-somalia,15,33
96,attack-2020-03-12-honduras,15,1
97,attack-2020-05-04-afghanistan,15,17
98,attack-2020-03-01-australia,15,0
99,attack-2020-03-08-thailand,14,1
100,attack-2020-01-17-somalia,14,19
101,attack-2020-01-07-kenya,14,6
102,attack-2020-03-23-chad,14,98
103,attack-2020-02-09-algeria,14,2
104,attack-2020-02-05-iraq,14,11
105,attack-2020-05-27-syria,13,19
106,attack-2020-03-30-afghanistan,13,17
107,attack-2020-04-29-afghanistan,13,15
108,attack-2020-03-23-nigeria,13,179
109,attack-2020-04-28-afghanistan,13,13
110,attack-2020-03-06-tunisia,13,3
111,attack-2020-05-03-afghanistan,13,14
112,attack-2020-03-17-syria,13,21
113,attack-2020-05-31-nigeria,12,13
114,attack-2020-01-12-thailand,12,2
115,attack-2020-04-13-kenya,12,4
116,attack-2020-05-25-poland,12,0
117,attack-2020-02-29-yemen,12,54
118,attack-2020-04-25-lebanon,12,0
119,attack-2020-01-06-nigeria,12,30
120,attack-2020-05-19-afghanistan,12,11
121,attack-2020-03-02-israel,12,1
122,attack-2020-01-18-nigeria,12,25
123,attack-2020-05-26-israel,11,0
124,attack-2020-05-14-turkey,11,2
125,attack-2020-03-06-thailand,11,1
126,attack-2020-05-12-syria,11,22
127,attack-2020-03-21-afghanistan,10,12
128,attack-2020-05-16-democratic republic of the congo,10,20
129,attack-2020-04-28-mali,10,12
130,attack-2020-04-21-mali,10,12
131,attack-2020-05-17-nigeria,10,20
132,attack-2020-01-03-nigeria,10,29
133,attack-2020-02-21-saudi arabia,10,0
134,attack-2020-05-01-afghanistan,9,18
135,attack-2020-01-04-burkina faso,9,14
136,attack-2020-01-07-myanmar,9,4
137,attack-2020-03-25-somalia,9,17
138,attack-2020-01-21-israel,8,3
139,attack-2020-03-29-mali,8,12
140,attack-2020-04-05-cameroon,8,9
141,attack-2020-04-07-afghanistan,8,18
142,attack-2020-02-02-somalia,7,18
143,attack-2020-02-07-democratic republic of the congo,7,20
144,attack-2020-05-28-mozambique,7,97
145,attack-2020-04-09-iraq,7,8
146,attack-2020-02-01-burkina faso,7,18
147,attack-2020-03-10-ukraine,7,1
148,attack-2020-02-10-yemen,7,13
149,attack-2020-02-14-afghanistan,7,11
150,attack-2020-02-21-canada,6,1
151,attack-2020-02-21-afghanistan,6,13
152,attack-2020-04-12-democratic republic of the congo,6,20
153,attack-2020-02-07-burkina faso,6,11
154,attack-2020-03-15-niger,6,50
155,attack-2020-03-04-nigeria,6,18
156,attack-2020-01-01-afghanistan,6,13
157,attack-2020-05-11-burkina faso,6,28
158,attack-2020-04-17-philippines,6,12
159,attack-2020-04-10-italy,6,0
160,attack-2020-04-09-syria,6,29
161,attack-2020-04-22-afghanistan,5,13
162,attack-2020-01-20-burkina faso,5,32
163,attack-2020-04-23-afghanistan,5,11
164,attack-2020-05-27-greece,5,0
165,attack-2020-05-24-sudan,5,N/A
166,attack-2020-05-31-china,5,0
167,attack-2020-05-26-democratic republic of the congo,5,26
168,attack-2020-03-14-yemen,5,11
169,attack-2020-01-09-nigeria,5,12
170,attack-2020-01-29-democratic republic of the congo,5,11
171,attack-2020-05-10-nigeria,5,20
172,attack-2020-04-05-afghanistan,5,16
173,attack-2020-01-30-democratic republic of the congo,5,11
174,attack-2020-01-30-chad,5,24
175,attack-2020-03-28-saudi arabia,5,0
176,attack-2020-04-10-democratic republic of the congo,4,11
177,attack-2020-03-28-cameroon,4,12
178,attack-2020-04-21-nigeria,4,28
179,attack-2020-04-25-pakistan,4,11
180,attack-2020-03-28-burkina faso,4,16
181,attack-2020-01-12-nigeria,4,11
182,attack-2020-03-25-ethiopia,4,1
183,attack-2020-05-12-nigeria,4,17
184,attack-2020-05-13-myanmar,4,2
185,attack-2020-03-02-sudan,4,N/A
186,attack-2020-05-25-democratic republic of the congo,4,14
187,attack-2020-05-29-myanmar,3,4
188,attack-2020-05-31-yemen,3,30
189,attack-2020-05-23-burkina faso,3,13
190,attack-2020-01-26-nigeria,3,14
191,attack-2020-02-16-afghanistan,3,12
192,attack-2020-04-13-russian federation,3,0
193,attack-2020-05-17-egypt,3,12
194,attack-2020-05-14-nigeria,3,14
195,attack-2020-03-28-ecuador,3,0
196,attack-2020-03-16-afghanistan,3,26
197,attack-2020-01-15-afghanistan,3,21
198,attack-2020-05-19-niger,3,19
199,attack-2020-04-13-sudan,3,4
200,attack-2020-04-01-burkina faso,3,16
201,attack-2020-05-08-yemen,3,48
202,attack-2020-05-18-greece,3,0
203,attack-2020-05-02-democratic republic of the congo,2,12
204,attack-2020-03-21-russian federation,2,1
205,attack-2020-02-20-norway,2,0
206,attack-2020-04-24-philippines,2,4
207,attack-2020-04-30-central african republic,2,25
208,attack-2020-01-22-sudan,2,32
209,attack-2020-02-24-canada,2,1
210,attack-2020-04-18-belgium,2,0
211,attack-2020-01-30-france,2,1
212,attack-2020-01-28-libya,2,2
213,attack-2020-04-11-yemen,2,38
214,attack-2020-05-02-russian federation,2,0
215,attack-2020-01-02-ethiopia,1,1
216,attack-2020-05-20-yemen,1,18
217,attack-2020-05-02-republic of south africa,1,1
218,attack-2020-05-23-indonesia,1,1
219,attack-2020-04-05-portugal,1,0
220,attack-2020-02-09-benin,1,1
221,attack-2020-04-20-nigeria,1,13
222,attack-2020-05-02-turkey,1,2
223,attack-2020-04-15-maldives,1,0
224,attack-2020-04-25-yemen,1,16
225,attack-2020-03-28-burundi,1,13
226,attack-2020-02-03-democratic republic of the congo,1,11
227,attack-2020-03-30-indonesia,1,1
228,attack-2020-03-10-mozambique,1,11
229,attack-2020-01-17-burkina faso,1,20
230,attack-2020-02-12-sudan,1,N/A
231,attack-2020-02-26-sweden,1,0
232,attack-2020-02-09-egypt,1,11
233,attack-2020-02-28-bangladesh,1,0
234,attack-2020-05-04-netherlands,1,0
235,attack-2020-04-27-cyprus,1,0
236,attack-2020-02-18-pakistan,1,16
237,attack-2020-03-18-yemen,1,38
238,attack-2020-04-10-mozambique,1,64
239,attack-2020-01-02-afghanistan,1,11
240,attack-2020-02-28-democratic republic of the congo,1,24
241,attack-2020-04-11-mozambique,1,30
242,attack-2020-02-10-burkina faso,1,11
243,attack-2020-05-22-australia,0,0
244,attack-2020-04-19-finland,0,0
245,attack-2020-05-15-iran,0,0
246,attack-2020-03-12-libya,0,2
247,attack-2020-01-09-kyrgyzstan,0,0
248,attack-2020-05-25-canada,0,0
249,attack-2020-04-11-cyprus,0,0
250,attack-2020-05-25-netherlands,0,0
251,attack-2020-05-18-kazakhstan,0,0
252,attack-2020-04-12-ireland,0,0
253,attack-2020-05-18-bangladesh,0,0
254,attack-2020-03-04-cyprus,0,0
255,attack-2020-03-06-uganda,0,20
256,attack-2020-02-04-maldives,0,0
257,attack-2020-04-30-bangladesh,0,1
258,attack-2020-04-15-indonesia,0,2
259,attack-2020-02-03-afghanistan,0,17
260,attack-2020-02-29-lebanon,0,1
261,attack-2020-03-11-central african republic,0,40
262,attack-2020-04-07-mozambique,0,19
263,attack-2020-03-19-norway,0,0
264,attack-2020-03-26-kazakhstan,0,0
265,attack-2020-05-16-new zealand,0,0
266,attack-2020-01-16-malaysia,0,1
267,attack-2020-03-08-burkina faso,0,21
268,attack-2020-05-10-burundi,0,0
269,attack-2020-02-16-central african republic,0,12
270,attack-2020-04-21-ireland,0,0
271,attack-2020-05-25-republic of south africa,0,1
272,attack-2020-02-24-sweden,0,0
273,attack-2020-02-21-ethiopia,0,1
274,attack-2020-03-22-lebanon,0,1
275,attack-2020-01-09-kosovo,0,0
276,attack-2020-04-19-tunisia,0,0
277,attack-2020-03-04-nepal,0,0
278,attack-2020-03-11-nepal,0,0
279,attack-2020-03-16-burundi,0,1
280,attack-2020-04-22-ireland,0,0
