,event_country,report_country,art_num
0,CZE,PRI,1
1,CZE,CZE,9
2,CZE,MYS,1
3,CZE,USA,1
4,CZE,BHR,1
5,CZE,GBR,3
6,CZE,IND,2
7,CZE,ARE,1
8,CZE,TWN,1
9,CZE,FRA,1
10,SLV,SLV,391
11,SLV,ARG,25
12,SLV,ITA,2
13,SLV,DOM,27
14,SLV,CRI,15
15,SLV,NIC,22
16,SLV,MEX,102
17,SLV,HND,24
18,SLV,GTM,21
19,SLV,CUB,8
20,SLV,PRI,6
21,SLV,ECU,3
22,SLV,ESP,28
23,SLV,VEN,22
24,SLV,CHL,3
25,SLV,RUS,7
26,SLV,USA,27
27,SLV,PAN,10
28,SLV, VE,1
29,SLV,URY,3
30,SLV,VAT,1
31,SLV,BOL,2
32,SLV,PER,1
33,SLV,CHE,1
34,SLV,BEL,2
35,SLV,FRA,3
36,SLV,LUX,1
37,SLV,MUS,1
38,SLV,SGP,16
39,SLV,PHL,5
40,SLV,AUS,3
41,SLV,IRL,3
42,SLV,DEU,1
43,SLV,GBR,7
44,SLV,BRA,9
45,SLV,MYS,1
46,SLV,HTI,1
47,SLV,EGY,2
48,SLV,PAK,3
49,SLV,BLZ,1
50,SLV,NGA,5
51,SLV,TWN,3
52,SLV,CAN,4
53,SLV,IND,4
54,SLV,CHN,1
55,SLV,LBN,1
56,SLV,NPL,2
57,SLV,ZAF,2
58,SLV,BGD,1
59,SLV,CUW,1
60,IDN,DOM,1
61,IDN,CHL,1
62,IDN,MEX,5
63,IDN,VNM,3
64,IDN,ESP,5
65,IDN,GTM,1
66,IDN,HND,1
67,IDN,BEL,1
68,IDN,IDN,41
69,IDN,KHM,3
70,IDN,IND,8
71,IDN,CAN,6
72,IDN,ISR,4
73,IDN,USA,15
74,IDN,NGA,9
75,IDN,TWN,2
76,IDN,AUS,7
77,IDN,GBR,6
78,IDN,MAC,1
79,IDN,SGP,4
80,IDN,MYS,11
81,IDN,MLT,1
82,IDN,UZB,1
83,IDN,BRN,1
84,IDN,IRN,2
85,IDN,TUR,1
86,IDN,PAK,1
87,IDN,LAO,1
88,IDN,QAT,2
89,IDN,PHL,4
90,IDN,NZL,1
91,IDN,NPL,2
92,IDN,IRL,1
93,IDN,ZAF,1
94,IDN,ARE,1
95,IDN,HKG,1
96,BRA,ESP,30
97,BRA,PAN,9
98,BRA,MEX,53
99,BRA,CUB,7
100,BRA,BOL,8
101,BRA,CHL,6
102,BRA,ARG,39
103,BRA,VEN,26
104,BRA,PRI,5
105,BRA,ECU,14
106,BRA,URY,13
107,BRA,CRI,3
108,BRA,NIC,5
109,BRA,DOM,14
110,BRA, VE,2
