,event_country,report_country,art_num
0,CZE,PRI,1
1,CZE,CZE,8
2,CZE,MEX,6
3,CZE,MYS,1
4,CZE,USA,1
5,CZE,BHR,1
6,CZE,GBR,2
7,CZE,IND,2
8,CZE,ARE,1
9,CZE,TWN,1
10,CZE,FRA,1
11,SLV,SLV,388
12,SLV,ARG,26
13,SLV,ITA,2
14,SLV,DOM,25
15,SLV,CRI,15
16,SLV,NIC,21
17,SLV,MEX,100
18,SLV,HND,24
19,SLV,GTM,20
20,SLV,CUB,8
21,SLV,PRI,5
22,SLV,ECU,3
23,SLV,ESP,28
24,SLV,VEN,22
25,SLV,CHL,2
26,SLV,RUS,7
27,SLV,USA,30
28,SLV,PAN,11
29,SLV, VE,1
30,SLV,URY,3
31,SLV,VAT,1
32,SLV,BOL,1
33,SLV,PER,1
34,SLV,CHE,1
35,SLV,BEL,2
36,SLV,FRA,3
37,SLV,LUX,1
38,SLV,MUS,1
39,SLV,SGP,15
40,SLV,PHL,5
41,SLV,AUS,3
42,SLV,IRL,3
43,SLV,DEU,1
44,SLV,GBR,7
45,SLV,BRA,9
46,SLV,MYS,1
47,SLV,HTI,1
48,SLV,EGY,2
49,SLV,PAK,3
50,SLV,BLZ,1
51,SLV,NGA,5
52,SLV,TWN,3
53,SLV,CAN,4
54,SLV,IND,4
55,SLV,CHN,1
56,SLV,LBN,1
57,SLV,ZAF,2
58,SLV,NPL,2
59,SLV,BGD,1
60,SLV,CUW,1
61,IDN,DOM,4
62,IDN,CHL,1
63,IDN,MEX,24
64,IDN,VNM,8
65,IDN,USA,38
66,IDN,NIC,1
67,IDN,PAN,1
68,IDN,ARG,1
69,IDN,ITA,1
70,IDN,PER,1
71,IDN,VEN,1
72,IDN,BOL,1
73,IDN,RUS,2
74,IDN,ESP,7
75,IDN,COL,2
76,IDN,IDN,54
77,IDN,KHM,2
78,IDN,IND,17
79,IDN,CAN,9
80,IDN,ISR,11
81,IDN,AUS,7
82,IDN,NGA,11
83,IDN,TWN,2
84,IDN,GBR,17
85,IDN,MAC,1
86,IDN,SGP,9
87,IDN,MYS,20
88,IDN,NZL,7
89,IDN,ZAF,7
90,IDN,BGD,4
91,IDN,UZB,1
92,IDN,BRN,2
93,IDN,IRN,2
94,IDN,TUR,3
95,IDN,THA,1
96,IDN,NPL,3
97,IDN,BGR,1
98,IDN,AZE,2
99,IDN,JPN,1
100,IDN,PHL,6
101,IDN,PAK,2
102,IDN,QAT,2
103,IDN,IRL,1
104,IDN,ARE,1
105,BRA,ESP,30
106,BRA,PAN,9
107,BRA,MEX,51
108,BRA,CUB,7
109,BRA,BOL,8
110,BRA,CHL,6
111,BRA,VEN,25
112,BRA,ARG,37
113,BRA,PRI,5
114,BRA,ECU,12
115,BRA,URY,12
116,BRA, VE,2
117,BRA,DOM,13
118,BRA,NIC,5
119,BRA,HND,2
120,BRA,PER,4
121,BRA,ITA,3
122,BRA,COL,2
123,BRA,PRY,1
124,BRA,CRI,1
125,BRA,USA,17
126,BRA,NZL,6
127,BRA,KEN,2
128,BRA,ZAF,24
129,BRA,SGP,8
130,BRA,IND,12
131,BRA,AUS,4
132,BRA,NGA,4
133,BRA,PHL,2
134,BRA,PAK,4
135,BRA,TWN,3
136,BRA,ISR,1
137,BRA,ABW,1
138,BRA,IRL,1
139,BRA,CAN,1
140,PHL,ARG,21
141,PHL,PAN,4
142,PHL,MEX,49
143,PHL,COL,1
144,PHL,CRI,3
145,PHL,ESP,60
146,PHL,HND,2
147,PHL,USA,279
148,PHL,DOM,11
149,PHL,PRI,5
150,PHL,ITA,2
151,PHL,VEN,6
152,PHL,ECU,4
153,PHL,VNM,10
154,PHL,NIC,3
155,PHL,CHL,6
156,PHL,GBR,115
157,PHL,GTM,2
158,PHL,URY,1
159,PHL,CUB,2
160,PHL,PRY,2
161,PHL,SLV,2
162,PHL,BOL,2
163,PHL,VAT,12
164,PHL,LUX,9
165,PHL,CAN,51
166,PHL,FRA,39
167,PHL,BEL,65
168,PHL,CHE,13
169,PHL,GUF,4
170,PHL,GLP,2
171,PHL,MTQ,4
172,PHL,PYF,2
173,PHL,NCL,2
174,PHL,COG,3
175,PHL,CMR,2
176,PHL,REU,2
177,PHL,RUS,11
178,PHL,MAR,2
179,PHL,BFA,1
180,PHL,TCD,2
181,PHL,MUS,1
182,PHL,PHL,1350
183,PHL,JPN,9
184,PHL,ZAF,46
185,PHL,AUS,34
186,PHL,SGP,51
187,PHL,TWN,12
188,PHL,NPL,2
189,PHL,KNA,2
190,PHL,ZWE,1
191,PHL,IND,65
192,PHL,PAK,6
193,PHL,KEN,5
194,PHL,NGA,73
195,PHL,EGY,4
196,PHL,MLT,2
197,PHL,MYS,60
198,PHL,IRN,5
199,PHL,TUR,4
200,PHL,IRL,10
201,PHL,THA,14
202,PHL,LBN,4
203,PHL,KAZ,3
204,PHL,BGD,7
205,PHL,ISR,31
206,PHL,NZL,96
207,PHL,PNG,1
208,PHL,SAU,12
209,PHL,AZE,4
210,PHL,GUM,5
211,PHL,ATG,1
212,PHL,DEU,2
213,PHL,FJI,2
214,PHL,JOR,1
215,PHL,AGO,1
216,PHL,MAC,1
217,PHL,BGR,1
218,PHL,DMA,2
219,PHL,KOR,3
220,PHL,ARE,6
221,PHL,VCT,2
222,PHL,KGZ,1
223,PHL,CHN,3
224,PHL,BIH,1
225,PHL,HKG,4
226,PHL,GHA,5
227,PHL,CYP,1
228,PHL,JAM,1
229,PHL,QAT,5
230,PHL,ATA,2
231,PHL,IDN,3
232,PHL,MNP,1
233,PHL,OMN,3
234,PHL,BRA,1
235,PHL,MDV,1
236,PHL,KHM,1
237,TUR,ESP,135
238,TUR,VEN,45
239,TUR, ES,6
240,TUR,MEX,151
241,TUR,ARG,52
242,TUR,RUS,29
243,TUR,SLV,9
244,TUR,COL,13
245,TUR,DOM,33
246,TUR,NIC,5
247,TUR,HND,6
248,TUR,BOL,8
249,TUR,CRI,11
250,TUR,CUB,9
251,TUR,GTM,9
252,TUR,PRI,10
253,TUR,URY,3
254,TUR,PER,13
255,TUR,ITA,3
256,TUR,CHL,17
257,TUR,ECU,4
258,TUR,USA,139
259,TUR,PAN,3
260,TUR,PRY,2
261,TUR,BLR,2
262,TUR,FRA,32
263,TUR,CAF,2
264,TUR,CHE,8
265,TUR,BEL,32
266,TUR,CHN,2
267,TUR,MUS,4
268,TUR,CAN,51
269,TUR,TCD,2
270,TUR,SEN,2
271,TUR,NCL,4
272,TUR,GUF,2
273,TUR,GLP,2
274,TUR,COG,2
275,TUR,LUX,5
276,TUR,MTQ,4
277,TUR,ARM,12
278,TUR,MAR,2
279,TUR,REU,1
280,TUR,CMR,1
281,TUR,SAU,8
282,TUR,BGD,18
283,TUR,AZE,34
284,TUR,UKR,1
285,TUR,ZWE,3
286,TUR,NGA,49
287,TUR,IRN,21
288,TUR,JPN,6
289,TUR,IDN,1
290,TUR,IND,67
291,TUR,SGP,22
292,TUR,ZAF,59
293,TUR,GBR,83
294,TUR,GRC,11
295,TUR,PHL,20
296,TUR,DEU,6
297,TUR,TUR,65
298,TUR,ISR,44
299,TUR,PAK,27
300,TUR,MYS,20
301,TUR,NPL,5
302,TUR,FJI,2
303,TUR,MLT,3
304,TUR,CYP,16
305,TUR,QAT,3
306,TUR,AFG,4
307,TUR,HKG,2
308,TUR,LBN,14
309,TUR,AUS,36
310,TUR,IRL,10
311,TUR,THA,2
312,TUR,VAT,2
313,TUR,KAZ,2
314,TUR,JOR,4
315,TUR,SRB,1
316,TUR,ARE,3
317,TUR,NRU,1
318,TUR,NZL,13
319,TUR,LCA,1
320,TUR,VUT,1
321,TUR,WSM,1
322,TUR,BIH,2
323,TUR,SOM,1
324,TUR,UGA,1
325,TUR,SYR,1
326,TUR,KEN,4
327,TUR,TWN,4
328,TUR,EGY,3
329,TUR,GHA,2
330,TUR,KGZ,1
331,TUR,MKD,1
332,TUR,MDA,1
333,TUR,BGR,2
334,TUR,OMN,1
335,TUR,MAC,2
336,TUR,KWT,1
337,TUR,KOR,2
338,TUR,KNA,1
339,TUR,TJK,1
340,TUR,BRB,1
341,TUR,MDV,1
342,TUR,FIN,1
343,TUR,JAM,1
344,RUS,HND,5
345,RUS,CUB,1
346,RUS,VEN,11
347,RUS,ARG,15
348,RUS,PAN,2
349,RUS,PER,4
350,RUS,MEX,24
351,RUS,ESP,11
352,RUS,NIC,1
353,RUS,CHL,2
354,RUS,DOM,2
355,RUS,PRI,1
356,RUS,URY,1
357,RUS,USA,4
358,RUS,COL,1
359,RUS,CRI,2
360,RUS,ECU,2
361,RUS,GTM,2
362,RUS,RUS,6
363,RUS,CAN,2
364,RUS,FRA,2
365,RUS,PAK,4
366,RUS,ZAF,1
367,RUS,IND,2
368,RUS,AFG,1
369,RUS,KEN,1
370,RUS,GBR,1
371,RUS,ISR,1
372,COD,ESP,1
373,COD,MEX,4
374,COD,NIC,1
375,COD,COD,2
376,COD,TUR,4
377,COD,NGA,2
378,COD,IRL,1
379,COD,PAK,3
380,COD,UGA,1
381,COD,PHL,1
382,GBR,ESP,76
383,GBR,CRI,2
384,GBR,PER,1
385,GBR,CUB,1
386,GBR,MEX,45
387,GBR,ARG,14
388,GBR,COL,4
389,GBR,ECU,2
390,GBR,URY,2
391,GBR,HND,3
392,GBR,DOM,8
393,GBR,SLV,1
394,GBR,CHL,1
395,GBR,PAN,2
396,GBR,VEN,5
397,GBR,NIC,1
398,GBR,PRI,2
399,GBR,ITA,4
400,GBR, ES,1
401,GBR,USA,88
402,GBR,ABW,1
403,GBR,FRA,4
404,GBR,LUX,2
405,GBR,CAN,14
406,GBR,BEL,3
407,GBR,GBR,734
408,GBR,ZAF,50
409,GBR,CYP,3
410,GBR,NGA,29
411,GBR,AUS,25
412,GBR,QAT,1
413,GBR,PAK,8
414,GBR,IND,30
415,GBR,RUS,11
416,GBR,IRL,19
417,GBR,ISR,9
418,GBR,JPN,4
419,GBR,PNG,1
420,GBR,PHL,9
421,GBR,SGP,9
422,GBR,NZL,44
423,GBR,ZWE,4
424,GBR,MYS,13
425,GBR,MLT,7
426,GBR,VUT,1
427,GBR,THA,2
428,GBR,SAU,4
429,GBR,BMU,1
430,GBR,DEU,1
431,GBR,FJI,1
432,GBR,GHA,2
433,GBR,ARM,3
434,GBR,IRN,2
435,GBR,TWN,5
436,GBR,BGD,2
437,GBR,ARE,4
438,GBR,UGA,1
439,GBR,BRB,1
440,GBR,EGY,1
441,GBR,TON,1
442,GBR,NRU,1
443,GBR,ATA,5
444,GBR,TUR,1
445,GBR,KEN,3
446,GBR,JAM,1
447,GBR,KNA,1
448,GBR,NLD,4
449,GBR,BHR,1
450,GBR,AZE,1
451,GBR,HTI,1
452,GBR,GRC,1
453,HRV,VEN,17
454,HRV,ESP,32
455,HRV,MEX,34
456,HRV,ARG,11
457,HRV,COL,7
458,HRV,BOL,2
459,HRV,CHL,1
460,HRV,SLV,3
461,HRV,URY,1
462,HRV,PER,3
463,HRV,USA,36
464,HRV,NIC,1
465,HRV,GTM,2
466,HRV,HND,2
467,HRV,ECU,1
468,HRV,CUB,1
469,HRV,DOM,5
470,HRV,PRI,3
471,HRV,VAT,7
472,HRV,FRA,7
473,HRV,CHE,3
474,HRV,LUX,1
475,HRV,MUS,1
476,HRV,CIV,2
477,HRV,RUS,7
478,HRV,GBR,23
479,HRV,SGP,16
480,HRV,ZAF,9
481,HRV,NGA,19
482,HRV,SAU,1
483,HRV,AUS,9
484,HRV,ITA,1
485,HRV,PHL,2
486,HRV,IRN,3
487,HRV,LBN,1
488,HRV,IND,12
489,HRV,NZL,11
490,HRV,BIH,5
491,HRV,PAK,3
492,HRV,CAN,11
493,HRV,MYS,1
494,HRV,BGR,3
495,HRV,TUR,1
496,HRV,ARM,6
497,HRV,ISR,4
498,HRV,SUR,1
499,HRV,JPN,2
500,HRV,CYP,5
501,HRV,IRL,6
502,HRV,KEN,1
503,HRV,QAT,1
504,HRV,DEU,1
505,HRV,CHN,1
506,HRV,SRB,2
507,HRV,TWN,2
508,HRV,HRV,2
509,HRV,ZWE,1
510,IND,MEX,86
511,IND,PER,1
512,IND,ARG,18
513,IND,USA,194
514,IND,PRI,5
515,IND,ESP,44
516,IND,DOM,11
517,IND,HND,3
518,IND,VEN,10
519,IND,RUS,16
520,IND,NIC,3
521,IND,GTM,4
522,IND,PAN,7
523,IND,CRI,1
524,IND,ECU,1
525,IND,COL,5
526,IND,SLV,2
527,IND,URY,3
528,IND, ES,1
529,IND,ITA,1
530,IND,MAR,3
531,IND,CHN,4
532,IND,BEL,34
533,IND,CHE,12
534,IND,LBN,6
535,IND,CAN,33
536,IND,LUX,5
537,IND,FRA,46
538,IND,MUS,5
539,IND,ISR,4
540,IND,VAT,4
541,IND,NCL,5
542,IND,REU,2
543,IND,BEN,1
544,IND,SEN,4
545,IND,MLI,3
546,IND,TCD,1
547,IND,IND,1424
548,IND,NPL,50
549,IND,PAK,41
550,IND,TUR,3
551,IND,BGD,98
552,IND,TWN,5
553,IND,NGA,40
554,IND,NZL,3
555,IND,AUS,37
556,IND,SGP,40
557,IND,VCT,1
558,IND,CYP,3
559,IND,PHL,17
560,IND,JPN,4
561,IND,ZAF,62
562,IND,GBR,65
563,IND,THA,7
564,IND,ZWE,1
565,IND,BRA,2
566,IND,KEN,9
567,IND,MMR,12
568,IND,SAU,3
569,IND,DEU,5
570,IND,MYS,4
571,IND,BRN,2
572,IND,ARE,1
573,IND,KAZ,4
574,IND,VNM,2
575,IND,FJI,3
576,IND,IRL,6
577,IND,JAM,4
578,IND,KWT,1
579,IND,TJK,1
580,IND,PNG,1
581,IND,SYC,2
582,IND,VUT,1
583,IND,TON,1
584,IND,ARM,1
585,IND,WSM,1
586,IND,GHA,1
587,IND,AZE,1
588,IND,KGZ,2
589,IND,TKM,1
590,IND,AFG,1
591,IND,KNA,1
592,IND,MWI,1
593,IND,AGO,2
594,IND,GRD,1
595,IND,BRB,1
596,IND,EGY,1
597,IND,BTN,1
598,IND,GUY,1
599,IND,IRN,1
600,IND,MAC,1
601,IND,QAT,3
602,IND,CUB,1
603,IND,UGA,1
604,FRA,ESP,29
605,FRA,PER,1
606,FRA,ARG,2
607,FRA,ECU,2
608,FRA,CHL,1
609,FRA,VEN,2
610,FRA,PAN,2
611,FRA,COL,1
612,FRA,MEX,13
613,FRA,ITA,3
614,FRA,CRI,2
615,FRA,PRI,1
616,FRA,CUB,1
617,FRA,RUS,3
618,FRA,BEL,5
619,FRA,FRA,50
620,FRA,CAN,3
621,FRA,LUX,1
622,FRA,REU,2
623,FRA,NCL,1
624,FRA,GLP,2
625,FRA,GUF,1
626,FRA,ZAF,14
627,FRA,SAU,4
628,FRA,SGP,4
629,FRA,GBR,19
630,FRA,NGA,5
631,FRA,NZL,1
632,FRA,PHL,3
633,FRA,ARM,2
634,FRA,DEU,1
635,FRA,IND,4
636,FRA,MYS,6
637,FRA,IRN,2
638,FRA,TWN,1
639,FRA,IRL,2
640,FRA,MLT,3
641,FRA,USA,17
642,FRA,ISR,2
643,FRA,TUR,1
644,FRA,GHA,2
645,FRA,KEN,2
646,FRA,ARE,1
647,FRA,AUS,6
648,FRA,PAK,1
649,FRA,BGD,1
650,FRA,NLD,1
651,FRA,MCO,2
652,FRA,ATA,1
653,FRA,TCD,1
654,DEU,ARG,3
655,DEU,PAN,4
656,DEU,DOM,6
657,DEU,VEN,4
658,DEU,MEX,20
659,DEU,ESP,11
660,DEU,NIC,1
661,DEU,COL,1
662,DEU,ECU,1
663,DEU,CRI,2
664,DEU,HND,1
665,DEU,PRI,2
666,DEU,USA,29
667,DEU,CHL,2
668,DEU,LUX,2
669,DEU,FRA,2
670,DEU,MYS,8
671,DEU,ZAF,18
672,DEU,PHL,6
673,DEU,CAN,7
674,DEU,ISR,6
675,DEU,SGP,5
676,DEU,IND,12
677,DEU,GBR,15
678,DEU,SAU,3
679,DEU,NGA,9
680,DEU,DEU,1
681,DEU,CYP,3
682,DEU,AZE,2
