,event_country,report_country,art_num
0,IDN,IDN,54
1,IDN,KHM,2
2,IDN,IND,17
3,IDN,CAN,9
4,IDN,ISR,11
5,IDN,USA,37
6,IDN,AUS,7
7,IDN,NGA,11
8,IDN,TWN,2
9,IDN,GBR,17
10,IDN,MAC,1
11,IDN,SGP,9
12,IDN,MYS,20
13,IDN,VNM,4
14,IDN,NZL,7
15,IDN,MEX,4
16,IDN,ZAF,7
17,IDN,BGD,4
18,IDN,UZB,1
19,IDN,BRN,2
20,IDN,IRN,2
21,IDN,TUR,3
22,IDN,THA,1
23,IDN,NPL,3
24,IDN,BGR,1
25,IDN,AZE,2
26,IDN,JPN,1
27,IDN,PHL,6
28,IDN,PAK,2
29,IDN,QAT,2
30,IDN,IRL,1
31,IDN,ARE,1
32,IDN,RUS,1
33,CZE,CZE,6
34,CZE,MYS,1
35,CZE,USA,1
36,CZE,BHR,1
37,CZE,GBR,2
38,CZE,IND,2
39,CZE,ARE,1
40,CZE,TWN,1
41,CZE,FRA,1
42,SLV,SGP,15
43,SLV,PHL,5
44,SLV,RUS,1
45,SLV,USA,23
46,SLV,AUS,3
47,SLV,IRL,3
48,SLV,DEU,1
49,SLV,GBR,7
50,SLV,BRA,9
51,SLV,FRA,1
52,SLV,MYS,1
53,SLV,HTI,1
54,SLV,EGY,2
55,SLV,PAK,3
56,SLV,BLZ,1
57,SLV,NGA,5
58,SLV,CUB,2
59,SLV,TWN,3
60,SLV,CAN,4
61,SLV,IND,4
62,SLV,CHN,1
63,SLV,LBN,1
64,SLV,ZAF,2
65,SLV,MEX,1
66,SLV,NPL,2
67,SLV,BGD,1
68,SLV,CUW,1
69,IND,IND,1424
70,IND,NPL,50
71,IND,PAK,41
72,IND,LBN,2
73,IND,TUR,3
74,IND,BGD,98
75,IND,USA,188
76,IND,TWN,5
77,IND,NGA,40
78,IND,RUS,14
79,IND,NZL,3
80,IND,AUS,37
81,IND,SGP,40
82,IND,VCT,1
83,IND,CYP,3
84,IND,PHL,17
85,IND,JPN,4
86,IND,ZAF,62
87,IND,CAN,29
88,IND,FRA,3
89,IND,GBR,65
90,IND,THA,7
91,IND,ZWE,1
92,IND,MEX,13
93,IND,ISR,2
94,IND,BRA,2
95,IND,KEN,9
96,IND,MMR,12
97,IND,SAU,3
98,IND,DEU,5
99,IND,MYS,4
100,IND,BRN,2
101,IND,ARE,1
102,IND,KAZ,4
103,IND,COL,1
104,IND,VNM,2
105,IND,FJI,3
106,IND,IRL,6
107,IND,JAM,4
108,IND,CHN,3
109,IND,KWT,1
110,IND,TJK,1
111,IND,VAT,3
112,IND,PNG,1
113,IND,SYC,2
114,IND,VUT,1
115,IND,TON,1
116,IND,ARM,1
117,IND,WSM,1
118,IND,GHA,1
119,IND,AZE,1
120,IND,KGZ,2
121,IND,TKM,1
122,IND,AFG,1
123,IND,KNA,1
124,IND,MWI,1
125,IND,AGO,2
126,IND,GRD,1
127,IND,BRB,1
128,IND,VEN,1
129,IND,EGY,1
130,IND,BTN,1
131,IND,GUY,1
132,IND,IRN,1
