,event country,reporting country,Death num,Neighbor,Asia,Europe,Africa,Oceania,North America,South America,Antarctica,Continent sim,GDP(high),GDP(low-low),GDP(high-high),GDP(low-high),GDP(high-low),Gini Index(high),Gini Index(low-low),Gini Index(high-high),Gini Index(low-high),Gini Index(high-low),Democracy index(high),Democracy index(low-low),Democracy index(high-high),Democracy index(low-high),Democracy index(high-low),Diplomatic Relation,Investment,Trade,Immigration,Same language
0,ALB,ARG,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,6254000.0,0.0,0
1,ALB,COL,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,878616.0,0.0,0
2,ALB,MEX,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,9471315.0,0.0,0
3,ALB,ESP,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,238806741.0,0.0,0
4,DZA,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,1125690214.0,0.0,0
5,DZA,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,3677841.0,0.0,0
6,DZA,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,169254000.0,0.0,0
7,DZA,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,5175611032.0,0.0,0
8,AGO,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,38286704.0,0.0,0
9,AGO,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,891318.0,0.0,0
10,AGO,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,8818368.0,0.0,0
11,AGO,ESP,3.4339872044851463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,621722974.0,0.0,0
12,ARG,COL,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0,0.267042028728644,797755174.0,0.0,1
13,ARG,MEX,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,927.623516904207,1738033000.0,0.0,1
14,ARG,ESP,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,1322.88311696264,1883611753.0,0.0,1
15,ARM,ARG,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,0.0,0.0,0.0,0
16,ARM,COL,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0
17,ARM,MEX,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,0.0,0.0,0
18,ARM,ESP,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,0.0,0.0,0
19,AUS,ARG,2.874543584449042,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0,68.2838177714371,1172833997.0,0.0,0
20,AUS,COL,2.228203909222642,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6.0,21.8711239317999,242491273.0,0.0,0
21,AUS,MEX,2.661486050377435,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,138.094943590239,3428503721.0,0.0,0
22,AUS,ESP,2.268600138924293,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,422.675055235127,3456450319.0,0.0,0
23,AUT,ARG,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,1.01797070116675,132031816.0,0.0,0
24,AUT,COL,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,45.6532737920974,109093398.0,0.0,0
25,AUT,MEX,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,29.4533637310885,3106110168.0,0.0,0
26,AUT,ESP,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,1620.88214190219,4898435382.0,0.0,0
27,AZE,ARG,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
28,AZE,COL,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
29,AZE,MEX,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
30,AZE,ESP,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
31,BGD,ARG,3.295836866004329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,464348250.0,0.0,0
32,BGD,COL,3.295836866004329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,25817987.0,0.0,0
33,BGD,MEX,3.295836866004329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,437847710.0,0.0,0
34,BGD,ESP,3.295836866004328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,2105816818.0,0.0,0
35,BLR,ARG,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0
36,BLR,COL,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
37,BLR,MEX,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
38,BLR,ESP,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
39,BEL,ARG,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.0,598.806397895394,839065807.0,0.0,0
40,BEL,COL,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6.0,24.0555132213053,873965177.0,0.0,0
41,BEL,MEX,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.0,47.3585537692945,3769818516.0,0.0,0
42,BEL,ESP,2.995732273553991,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,2235.02740133417,21490222564.0,0.0,0
43,BEN,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,1255000.0,0.0,0
44,BEN,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,190323.0,0.0,0
45,BEN,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,961000.0,0.0,0
46,BEN,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,56881014.0,0.0,0
47,BTN,ARG,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,1886.0,0.0,0
48,BTN,COL,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,10172.0,0.0,0
49,BTN,MEX,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,143000.0,0.0,0
50,BTN,ESP,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,112881.0,0.0,0
51,BOL,ARG,2.311141008576905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,1542911314.0,0.0,1
52,BOL,COL,2.57083177825133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,513259447.0,0.0,1
53,BOL,MEX,2.484268188359855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.0,0.0,160486688.0,0.0,1
54,BOL,ESP,1.7917594692280547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.0,0.0,168498517.0,0.0,1
55,BWA,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0
56,BWA,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0
57,BWA,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,360000.0,0.0,0
58,BWA,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,1749825.0,0.0,0
59,BRA,ARG,2.8633121971990594,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,6.0,845.710318530922,24228576697.0,0.0,0
60,BRA,COL,2.860155888303706,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,6.0,94.7222124877392,4887962796.0,0.0,0
61,BRA,MEX,3.0000155355414195,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6.0,784.49381020235,15657529860.0,0.0,0
62,BRA,ESP,2.89716221702489,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6.0,4800.87761399011,9214789406.0,0.0,0
63,BGR,ARG,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.551961588709514,43306144.0,0.0,0
64,BGR,COL,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.170431387452307,5962400.0,0.0,0
65,BGR,MEX,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,50.070239806605,237086289.0,0.0,0
66,BGR,ESP,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,84.9613706660339,1533636076.0,0.0,0
67,BFA,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,59437.0,0.0,0
