,event,article number,death
0,earthquake-puerto rico-2020-01-07,1000,4
1,storm-el salvador-2020-05-31,727,32
2,storm-spain-2020-01-19,644,17
3,earthquake-jamaica-2020-01-28,434,N/A
4,storm-argentina-2020-01-15,368,19
5,earthquake-turkey-2020-01-24,355,41
6,storm-guatemala-2020-05-30,308,2
7,storm-united states-2020-03-02,281,N/A
8,storm-india-2020-05-20,195,90
9,storm-united states-2020-04-10,177,N/A
10,storm-bangladesh-2020-05-20,174,26
11,storm-united kingdom-2020-02-08,156,2
12,storm-australia-2020-01-19,150,19
13,volcano-philippines-2020-01-12,148,1
14,earthquake-croatia-2020-03-22,133,1
15,earthquake-puerto rico-2020-05-02,133,19
16,flood-argentina-2020-02-11,113,3
17,storm-united states-2020-01-10,109,N/A
18,flood-brazil-2020-03-02,104,60
19,earthquake-united states-2020-05-15,93,N/A
20,earthquake-turkey-2020-02-23,92,9
21,storm-honduras-2020-05-30,91,5
22,flood-united states-2020-05-17,86,N/A
23,flood-brazil-2020-02-29,85,4
24,earthquake-iran-2020-02-23,72,19
25,earthquake-united states-2020-03-31,58,N/A
26,storm-germany-2020-02-09,56,19
27,earthquake-mexico-2020-05-22,56,N/A
28,earthquake-united states-2020-01-23,56,N/A
29,earthquake-china-2020-05-18,54,4
30,earthquake-honduras-2020-04-16,50,N/A
31,storm-france-2020-02-08,49,19
32,earthquake-peru-2020-05-31,44,N/A
33,earthquake-united states-2020-01-26,41,N/A
34,storm-cuba-2020-05-25,37,19
35,flood-peru-2020-02-17,37,15
36,flood-australia-2020-02-04,35,1
37,flood-brazil-2020-02-09,35,5
38,storm-philippines-2020-05-15,34,5
39,earthquake-russian federation-2020-03-25,32,N/A
40,flood-ecuador-2020-02-22,32,19
41,storm-united states-2020-04-06,30,N/A
42,earthquake-japan-2020-04-18,29,N/A
43,storm-poland-2020-02-08,29,3
44,flood-peru-2020-01-23,28,19
45,earthquake-japan-2020-04-19,26,N/A
46,flood-bolivia-2020-02-08,26,18
47,wildfire-bolivia-2020-01-xx,26,5
48,flood-bolivia-2020-02-13,24,8
49,flood-brazil-2020-01-17,24,61
50,earthquake-china-2020-01-19,20,N/A
51,storm-united states-2020-05-02,20,N/A
52,storm-pakistan-2020-01-11,19,107
53,earthquake-cayman islands-2020-01-28,17,N/A
54,earthquake-greece-2020-05-02,16,N/A
55,storm-slovenia-2020-02-07,16,1
56,earthquake-papua new guinea-2020-04-25,15,N/A
57,earthquake-indonesia-2020-01-07,14,N/A
58,wildfire-china-2020-03-30,14,19
59,flood-colombia-2020-02-26,13,14
60,flood-guatemala-2020-05-09,13,3
61,earthquake-indonesia-2020-01-18,11,N/A
62,flood-indonesia-2020-01-14,9,19
63,flood-honduras-2020-02-28,8,3
64,earthquake-indonesia-2020-02-26,8,N/A
65,storm-belgium-2020-02-09,7,19
66,earthquake-philippines-2020-03-26,7,N/A
67,flood-democratic republic of the congo-2020-04-16,6,52
68,earthquake-solomon islands-2020-01-27,5,N/A
69,landslide-peru-2020-02-23,5,15
70,earthquake-indonesia-2020-02-05,5,N/A
71,flood-indonesia-2020-02-26,4,10
72,storm-sweden-2020-02-07,4,1
73,earthquake-philippines-2020-02-06,4,N/A
74,earthquake-vanuatu-2020-05-27,4,N/A
75,storm-france-2020-01-21,4,19
76,storm-vietnam-2020-04-22,3,3
77,flood-iran-2020-01-09,3,4
78,flood-new zealand-2020-02-01,3,19
79,flood-egypt-2020-03-11,3,40
80,earthquake-vanuatu-2020-03-18,3,N/A
81,flood-rwanda-2020-05-01,3,8
82,storm-czech republic-2020-02-07,2,1
