,event_country,report_country,art_num
0,CZE,CZE,1
1,SLV,CHE,1
2,SLV,BEL,2
3,SLV,FRA,2
4,SLV,LUX,1
5,SLV,MUS,1
6,IND,MAR,3
7,IND,CHN,1
8,IND,BEL,34
9,IND,CHE,12
10,IND,LBN,4
11,IND,CAN,4
12,IND,LUX,5
13,IND,FRA,43
14,IND,MUS,5
15,IND,ISR,2
16,IND,VAT,1
17,IND,NCL,5
18,IND,REU,2
19,IND,BEN,1
20,IND,SEN,4
21,IND,RUS,1
22,IND,MLI,3
23,IND,TCD,1
24,BFA,BFA,1
25,GBR,FRA,3
26,GBR,LUX,2
27,GBR,CAN,1
28,GBR,BEL,1
29,TUR,FRA,30
30,TUR,CAF,2
31,TUR,CHE,8
32,TUR,BEL,32
33,TUR,CHN,2
34,TUR,MUS,4
35,TUR,CAN,6
36,TUR,TCD,2
37,TUR,RUS,1
38,TUR,SEN,2
39,TUR,NCL,4
40,TUR,GUF,2
41,TUR,GLP,2
42,TUR,COG,2
43,TUR,LUX,5
44,TUR,MTQ,4
45,TUR,ARM,2
46,TUR,MAR,2
47,TUR,REU,1
48,TUR,CMR,1
49,RUS,RUS,1
50,RUS,CAN,2
51,RUS,FRA,2
52,COD,COD,2
53,LKA,MUS,1
54,HRV,FRA,6
55,HRV,CHE,3
56,HRV,LUX,1
57,HRV,MUS,1
58,HRV,CIV,2
59,HRV,RUS,1
60,FRA,BEL,5
61,FRA,FRA,47
62,FRA,CAN,1
63,FRA,LUX,1
64,FRA,REU,2
65,FRA,NCL,1
66,FRA,RUS,1
67,FRA,GLP,2
68,FRA,GUF,1
69,MWI,REU,1
70,DEU,LUX,2
71,DEU,FRA,2
72,VUT,REU,2
73,VUT,FRA,10
74,VUT,BEL,7
75,VUT,MAF,2
76,VUT,LUX,1
77,VUT,PYF,2
78,VUT,CHE,3
79,VUT,NCL,4
80,ESP,FRA,8
81,ESP,BEL,1
82,ESP,LUX,1
83,ESP,COG,1
84,CHN,CHN,3
85,CHN,RUS,1
86,CHN,BEL,1
87,CAN,CAN,20
88,UZB,UZB,3
89,UZB,DZA,1
90,UZB,IRN,1
91,BDI,GAB,1
92,IRN,FRA,4
93,IRN,CAF,1
94,IRN,CHE,3
95,IRN,LBN,2
96,IRN,BEL,2
97,IRN,MUS,2
98,IRN,CAN,2
99,IRN,TCD,2
100,IRN,COG,1
101,IRN,CMR,1
102,ETH,CAF,1
103,ETH,COG,1
104,ETH,CMR,1
105,SLB,LBN,1
106,SLB,BEL,7
107,SLB,NCL,1
108,SLB,FRA,7
109,SLB,MAF,1
110,SLB,PYF,2
111,SLB,LUX,1
112,SLB,CHE,2
113,VNM,VNM,1
114,KEN,DZA,1
115,HND,BEL,2
116,HND,FRA,2
117,HND,LUX,1
118,HND,MUS,1
119,GTM,CHE,1
120,GTM,BEL,2
121,GTM,FRA,2
122,GTM,LUX,1
123,GTM,MUS,1
124,YEM,BEN,1
125,RWA,RWA,3
126,BGD,CAN,4
127,BGD,CHE,10
128,BGD,LUX,6
129,BGD,LBN,3
130,BGD,FRA,40
131,BGD,BEL,31
132,BGD,MUS,4
133,BGD,MAR,1
134,BGD,ISR,2
135,BGD,VAT,1
136,BGD,NCL,4
137,BGD,REU,1
138,BGD,BEN,1
139,BGD,SEN,3
140,BGD,RUS,1
141,BGD,MLI,3
142,FJI,BEL,2
143,FJI,FRA,3
144,FJI,CHE,6
145,FJI,VAT,2
146,FJI,PYF,1
147,FJI,CAN,2
148,FJI,LBN,1
149,FJI,NCL,1
150,TON,PYF,1
151,TON,LUX,1
152,TON,CHE,1
153,TON,FRA,1
154,TON,NCL,1
155,NAM,FRA,1
156,AUS,BEL,21
157,AUS,CAN,6
158,AUS,RUS,1
159,AUS,FRA,6
160,AUS,COG,1
161,AUS,MAR,1
162,AUS,CAF,1
163,AUS,CHE,3
164,AUS,LUX,4
165,AUS,PYF,2
166,AUS,GUF,1
167,AUS,NCL,2
168,AUS,MTQ,1
169,AUS,GLP,1
170,AUS,DZA,1
171,BEL,BEL,87
172,BEL,LUX,1
173,UGA,RUS,1
174,POL,LUX,1
175,PHL,LUX,9
176,PHL,CAN,10
177,PHL,FRA,39
178,PHL,BEL,65
179,PHL,CHE,13
180,PHL,VNM,2
181,PHL,GUF,4
182,PHL,GLP,2
183,PHL,MTQ,4
184,PHL,PYF,2
185,PHL,NCL,2
186,PHL,COG,3
187,PHL,CMR,2
188,PHL,REU,2
189,PHL,RUS,2
190,PHL,VAT,3
191,PHL,MAR,2
192,PHL,BFA,1
193,PHL,TCD,2
194,PHL,MUS,1
195,KAZ,DZA,1
196,ISR,ISR,3
