,event country,reporting country,Death num,Neighbor,Asia,Europe,Africa,Oceania,North America,South America,Antarctica,Continent sim,GDP(high),GDP(low-low),GDP(high-high),GDP(low-high),GDP(high-low),Gini Index(high),Gini Index(low-low),Gini Index(high-high),Gini Index(low-high),Gini Index(high-low),Democracy index(high),Democracy index(low-low),Democracy index(high-high),Democracy index(low-high),Democracy index(high-low),Diplomatic Relation,Investment,Trade,Immigration,Same language
0,ALB,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,46090140.0,0.0,0
1,ALB,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,105108546.0,0.0,0
2,DZA,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,542650695.0,0.0,0
3,DZA,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,6720985790.0,0.0,0
4,AGO,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,206314757.0,0.0,0
5,AGO,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,595700792.0,0.0,0
6,ARG,CAN,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,122.078041987251,1139950462.0,0.0,0
7,ARG,FRA,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,39.3202859769548,1086591783.0,0.0,0
8,ARM,CAN,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,0.0,0.0,0
9,ARM,FRA,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,0.0,0.0,0
10,AUS,CAN,2.337850818412835,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,1652.05587950191,6467638618.0,0.0,1
11,AUS,FRA,2.995732273553991,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,6514.03107873156,8464493289.0,0.0,0
12,AUT,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,420.676068395013,2845529197.0,0.0,0
13,AUT,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,1259.35580646057,11281872578.0,0.0,0
14,AZE,CAN,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0
15,AZE,FRA,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
16,BGD,CAN,3.295836866004329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,2876052282.0,0.0,0
17,BGD,FRA,3.2958368660043287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,0.0,1828920599.0,0.0,0
18,BLR,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0
19,BLR,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0
20,BEL,CAN,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,784.0,8678405057.0,0.0,1
21,BEL,FRA,0.0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,10716.0736039523,94380960552.0,0.0,1
22,BEN,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,4.0,0.0,18954530.0,0.0,1
23,BEN,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,210526394.0,0.0,1
24,BTN,CAN,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.0,281973.0,0.0,0
25,BTN,FRA,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.0,77001323.0,0.0,0
26,BOL,CAN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,0.0,346097408.0,0.0,0
27,BOL,FRA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,45661319.0,0.0,0
28,BWA,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.0,147434161.0,0.0,1
29,BWA,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,47877202.0,0.0,0
30,BRA,CAN,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,6.0,773.174920281536,12521327042.0,0.0,0
31,BRA,FRA,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,6.0,1841.73790595525,8761695040.0,0.0,0
32,BGR,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,36.2,554339482.0,0.0,0
33,BGR,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,628.083928513768,2199551714.0,0.0,0
34,BFA,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,74139997.0,0.0,1
35,BFA,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,419563726.0,0.0,1
36,BDI,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,0.0,1251431.0,0.0,1
37,BDI,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,8919557.0,0.0,1
38,CMR,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.0,0.0,71645268.0,0.0,1
39,CMR,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,748807357.0,0.0,1
40,CAN,FRA,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,2922.59645479637,11165595590.0,0.0,1
41,CAF,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1
42,CAF,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,0.0,0.0,1
43,TCD,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,7168091.0,0.0,1
44,TCD,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,409281719.0,0.0,1
45,CHL,CAN,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,948.774371585586,2883957214.0,0.0,0
46,CHL,FRA,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,17.9807368952311,2237103253.0,0.0,0
47,CHN,CAN,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.0,2396.72564989769,0.0,0.0,0
48,CHN,FRA,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6.0,1626.67509378177,0.0,0.0,0
49,COL,CAN,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,94.3850528103932,1633946264.0,0.0,0
50,COL,FRA,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,132.767902979982,719585426.0,0.0,0
51,COM,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1
52,COM,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,0.0,0.0,1
53,COG,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1
54,COG,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1
55,CRI,CAN,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,194.225975611378,617142302.0,0.0,0
56,CRI,FRA,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,36.3606423003569,123959705.0,0.0,0
57,HRV,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,21.4977194208135,0.0,0.0,0
58,HRV,FRA,0.6931471805599453,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,206.4,0.0,0.0,0
59,CYP,CAN,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,172.391539429416,13713834.0,0.0,0
60,CYP,FRA,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,919.305039846576,372599727.0,0.0,0
61,DNK,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,469.377621600345,2153469102.0,0.0,0
62,DNK,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,6104.51415383996,7405697283.0,0.0,0
63,DJI,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,4372168.0,0.0,1
64,DJI,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,87120852.0,0.0,1
65,DOM,CAN,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,0.0,0.0,0
66,DOM,FRA,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,0.0,0.0,0
67,ECU,CAN,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,595134066.0,0.0,0
68,ECU,FRA,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,396617841.0,0.0,0
69,EGY,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.68337291336352,0.0,0.0,0
70,EGY,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,278.139688295849,0.0,0.0,0
71,SLV,CAN,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,120577990.0,0.0,0
72,SLV,FRA,3.4965075614664802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,47629263.0,0.0,0
73,EST,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,65.2655438260861,0.0,0.0,0
74,EST,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,302.7,0.0,0.0,0
75,ETH,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,0.0,0.0,0
76,ETH,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,0.0,0.0,0
77,FJI,CAN,1.0986122886681098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,1
78,FJI,FRA,0.8283022165960001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,0.0,0.0,0
79,FIN,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,743.085254110541,1862545815.0,0.0,0
80,FIN,FRA,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,1864.09009764901,4015738744.0,0.0,0
81,FRA,CAN,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,550.549573085255,11165595590.0,0.0,1
82,GAB,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,14156719.0,0.0,1
83,GAB,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,0.0,577701513.0,0.0,1
84,GMB,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1
85,GMB,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0
86,GEO,CAN,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,45198840.0,0.0,0
87,GEO,FRA,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,201037205.0,0.0,0
88,DEU,CAN,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,7361.86802259631,28244949728.0,0.0,0
89,DEU,FRA,2.995732273553991,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,28174.9808433364,174942976296.0,0.0,0
90,GHA,CAN,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,304985100.0,0.0,1
91,GHA,FRA,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,0.0,480552235.0,0.0,0
92,GRC,CAN,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,43.2328341401374,509238129.0,0.0,0
93,GRC,FRA,2.995732273553991,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6.0,149.148235683863,4868593279.0,0.0,0
