,event,article number,death
0,volcano-philippines-2020-01-12,167,1
1,storm-india-2020-05-20,123,90
2,storm-bangladesh-2020-05-20,119,26
3,storm-belgium-2020-02-09,96,19
4,earthquake-turkey-2020-01-24,82,41
5,storm-united states-2020-03-02,48,N/A
6,storm-vanuatu-2020-04-06,41,3
7,storm-australia-2020-01-19,37,19
8,flood-france-2020-05-11,35,19
9,earthquake-puerto rico-2020-01-07,35,4
10,storm-solomon islands-2020-04-02,31,48
11,storm-united states-2020-04-10,30,N/A
12,flood-canada-2020-04-26,29,1
13,storm-france-2020-02-08,27,19
14,avalanche-turkey-2020-02-04,25,41
15,earthquake-croatia-2020-03-22,23,1
16,earthquake-iran-2020-02-23,20,19
17,storm-france-2020-01-21,20,19
18,earthquake-turkey-2020-02-23,19,9
19,storm-united states-2020-01-10,19,N/A
20,flood-australia-2020-02-04,17,1
21,storm-philippines-2020-05-15,15,5
22,flood-brazil-2020-02-29,12,4
23,flood-brazil-2020-03-02,12,60
24,earthquake-jamaica-2020-01-28,11,N/A
25,flood-democratic republic of the congo-2020-04-16,10,52
26,storm-spain-2020-01-19,10,17
27,flood-new zealand-2020-02-01,10,19
28,storm-fiji-2020-01-17,10,2
29,storm-united kingdom-2020-02-08,9,2
30,storm-united states-2020-04-06,8,N/A
31,storm-fiji-2020-04-08,8,1
32,storm-el salvador-2020-05-31,7,32
33,landslide-india-2020-05-27,7,21
34,storm-guatemala-2020-05-30,7,2
35,flood-united states-2020-05-17,7,N/A
36,earthquake-greece-2020-05-02,6,N/A
37,storm-honduras-2020-05-30,6,5
38,flood-uzbekistan-2020-05-01,5,4
39,storm-united states-2020-05-02,5,N/A
40,storm-tonga-2020-04-06,5,19
41,storm-germany-2020-02-09,4,19
42,earthquake-indonesia-2020-01-07,4,N/A
43,flood-iran-2020-01-09,4,4
44,flood-madagaskar-2020-01-01,4,40
45,landslide-ethiopia-2020-05-09,3,12
46,storm-madagaskar-2020-03-13,3,4
47,flood-israel-2020-01-04,3,7
48,flood-indonesia-2020-02-26,2,10
49,earthquake-indonesia-2020-01-18,2,N/A
50,earthquake-china-2020-01-19,2,N/A
51,flood-yemen-2020-04-15,2,10
52,flood-rwanda-2020-04-17,2,72
53,storm-china-2020-05-01,2,20
54,flood-zambia-2020-01-xx,2,19
55,storm-czech republic-2020-02-07,1,1
56,flood-burkina faso-2020-04-19,1,19
57,earthquake-indonesia-2020-01-19,1,N/A
58,flood-united kingdom-2020-02-28,1,19
59,earthquake-russian federation-2020-01-09,1,N/A
60,earthquake-japan-2020-04-18,1,N/A
61,earthquake-japan-2020-04-19,1,N/A
62,earthquake-philippines-2020-02-06,1,N/A
63,earthquake-china-2020-05-18,1,4
64,flood-burundi-2020-01-28,1,3
65,earthquake-united states-2020-05-15,1,N/A
66,storm-vietnam-2020-04-22,1,3
67,flood-congo-2020-03-30,1,20
68,flood-india-2020-05-24,1,1
69,flood-kenya-2020-04-18,1,285
70,flood-mozambique-2020-02-11,1,2
71,flood-namibia-2020-03-06,1,19
72,earthquake-honduras-2020-04-16,1,N/A
73,flood-india-2020-05-10,1,29
74,flood-uganda-2020-05-21,1,11
75,earthquake-russian federation-2020-03-25,1,N/A
76,storm-poland-2020-02-08,1,3
77,flood-brazil-2020-01-17,1,61
78,flood-kazakhstan-2020-05-01,1,19
79,flood-rwanda-2020-05-01,1,8
80,flood-indonesia-2020-01-23,0,10
81,flood-united republic of tanzania-2020-01-27,0,29
82,flood-iran-2020-04-10,0,8
83,flood-indonesia-2020-05-22,0,4
84,flood-indonesia-2020-03-20,0,19
85,storm-burundi-2020-03-16,0,2
86,flood-uganda-2020-04-17,0,5
87,storm-sweden-2020-02-07,0,1
88,earthquake-solomon islands-2020-01-29,0,N/A
89,storm-sri lanka-2020-05-17,0,4
90,earthquake-papua new guinea-2020-01-07,0,N/A
91,flood-democratic republic of the congo-2020-05-05,0,19
92,flood-malawi-2020-02-04,0,1
93,earthquake-puerto rico-2020-05-02,0,19
94,flood-afghanistan-2020-03-28,0,56
95,flood-peru-2020-01-23,0,19
96,storm-slovenia-2020-02-07,0,1
97,flood-papua new guinea-2020-04-04,0,19
98,flood-peru-2020-03-28,0,19
99,earthquake-new zealand-2020-04-14,0,N/A
100,earthquake-papua new guinea-2020-05-07,0,N/A
101,flood-honduras-2020-02-28,0,3
102,earthquake-indonesia-2020-04-05,0,N/A
103,earthquake-solomon islands-2020-01-27,0,N/A
104,flood-angola-2020-03-16,0,3
105,flood-zambia-2020-03-20,0,19
106,flood-indonesia-2020-03-29,0,1
107,flood-indonesia-2020-04-30,0,2
108,landslide-peru-2020-02-23,0,15
109,flood-malaysia-2020-04-25,0,19
110,flood-indonesia-2020-01-28,0,9
111,flood-angola-2020-04-18,0,30
112,flood-bolivia-2020-02-08,0,18
