,event_country,report_country,art_num
0,COD,DEU,3
1,COD,USA,64
2,COD,PHL,9
3,COD,CAN,17
4,COD,TUR,11
5,COD,PAK,18
6,COD,THA,2
7,COD,QAT,2
8,COD,NGA,58
9,COD,GBR,23
10,COD,MEX,12
11,COD,SGP,14
12,COD,MYS,4
13,COD,ZAF,68
14,COD,KEN,6
15,COD,UGA,19
16,COD,IND,16
17,COD,BGD,9
18,COD,JPN,3
19,COD,ISR,13
20,COD,FRA,3
21,COD,SLE,5
22,COD,AUS,8
23,COD,AGO,2
24,COD,ZWE,8
25,COD,ZMB,1
26,COD,GHA,5
27,COD,RWA,4
28,COD,VAT,2
29,COD,GRC,2
30,COD,NPL,2
31,COD,MWI,1
32,COD,LBN,1
33,COD,AZE,3
34,COD,IRN,2
35,COD,IDN,1
36,COD,RUS,1
37,COD,SOM,1
38,COD,LBR,1
39,COD,SAU,1
40,ISR,ISR,63
41,ISR,UKR,1
42,ISR,CAN,6
43,ISR,TWN,1
44,ISR,USA,12
45,ISR,DEU,1
46,ISR,RUS,2
47,ISR,AUS,3
48,ISR,PAK,2
49,ISR,EGY,1
50,ISR,IND,2
51,ISR,NGA,1
52,ISR,LBN,3
53,ISR,JOR,1
54,ISR,PSE,3
55,ISR,ARE,1
56,ISR,IRL,1
57,ISR,IRN,1
58,ISR,SAU,2
59,ISR,MLT,1
60,ISR,MYS,2
61,ISR,GBR,1
62,AFG,AFG,2585
63,AFG,USA,1352
64,AFG,GBR,444
65,AFG,MEX,112
66,AFG,ARE,34
67,AFG,ISR,93
68,AFG,MYS,159
69,AFG,SGP,224
70,AFG,ZAF,299
71,AFG,PHL,140
72,AFG,FRA,7
73,AFG,IND,1273
74,AFG,CAN,393
75,AFG,PAK,922
76,AFG,LBN,145
77,AFG,NGA,369
78,AFG,KGZ,209
79,AFG,AUS,183
80,AFG,KAZ,228
81,AFG,TKM,249
82,AFG,AZE,202
83,AFG,TJK,202
84,AFG,TWN,49
85,AFG,KEN,30
86,AFG,BGD,168
87,AFG,MWI,5
88,AFG,NLD,3
89,AFG,RUS,90
90,AFG,TUR,53
91,AFG,EGY,16
92,AFG,IRN,94
93,AFG,GHA,17
94,AFG,ARM,62
95,AFG,UZB,5
96,AFG,NZL,154
97,AFG,ZWE,7
98,AFG,IDN,13
99,AFG,CYP,28
100,AFG,DEU,16
101,AFG,QAT,12
102,AFG,MAC,6
103,AFG,JOR,11
104,AFG,SLE,5
105,AFG,SAU,35
106,AFG,HKG,8
107,AFG,JAM,2
108,AFG,NPL,33
109,AFG,LBR,7
110,AFG,CHN,8
111,AFG,KOR,1
112,AFG,THA,15
113,AFG,VNM,4
114,AFG,LAO,1
115,AFG,PRI,1
116,AFG,IRL,34
117,AFG,BGR,3
118,AFG,SSD,1
119,AFG,JPN,15
120,AFG,KHM,1
121,AFG,TON,2
122,AFG,NRU,2
123,AFG,FJI,8
124,AFG,SUR,6
125,AFG,ARG,4
126,AFG,BRA,7
127,AFG,LCA,4
128,AFG,BHR,19
129,AFG,MLT,4
130,AFG,RWA,1
131,AFG,ATA,1
132,AFG,KWT,6
133,AFG,HTI,2
134,AFG,OMN,7
135,AFG,MMR,4
136,AFG,UGA,4
137,AFG,ESP,4
138,AFG,SYR,1
139,AFG,NOR,4
140,AFG,CUB,1
141,AUS,AUS,315
142,AUS,ISR,1
143,AUS,USA,8
144,AUS,NGA,9
145,AUS,NZL,62
146,AUS,GBR,27
147,AUS,MAC,1
148,AUS,IND,6
149,AUS,IRL,12
150,AUS,CHN,3
151,AUS,ARE,1
152,AUS,PHL,4
153,AUS,MYS,4
154,AUS,TWN,2
155,AUS,SUR,1
156,AUS,BGD,1
157,AUS,JOR,1
158,AUS,CAN,1
159,AUS,UGA,1
160,AUS,PAK,1
161,ETH,USA,7
162,ETH,ETH,4
163,ETH,TWN,3
164,ETH,DEU,1
165,ETH,GBR,4
166,ETH,SOM,2
167,ETH,MEX,1
168,ETH,NGA,5
169,ETH,MWI,1
170,ETH,UGA,2
171,ETH,ZAF,8
172,ETH,TUR,1
173,ETH,IND,1
174,ETH,SGP,1
175,ETH,KEN,1
176,ETH,MYS,1
177,ETH,AUS,1
178,HTI,USA,14
179,HTI,ZAF,3
180,HTI,HTI,12
181,HTI,KNA,3
182,HTI,KEN,1
183,HTI,FRA,1
184,HTI,DMA,1
185,HTI,NGA,3
186,HTI,JPN,1
187,HTI,CAN,3
188,HTI,GBR,6
189,HTI,PHL,3
190,HTI,IND,4
191,HTI,BGD,2
192,HTI,DEU,1
193,HTI,MYS,2
194,HTI,QAT,1
195,HTI,SAU,1
196,HTI,PAK,1
197,HTI,BMU,1
198,HTI,CUB,1
199,TUR,PHL,3
200,TUR,TUR,17
201,TUR,LBN,2
202,TUR,USA,22
203,TUR,GBR,5
204,TUR,MYS,2
205,TUR,RUS,2
206,TUR,CAN,7
207,TUR,NGA,7
