,event_country,report_country,art_num
0,COD,DOM,9
1,COD,MEX,28
2,COD,URY,1
3,COD,ARG,6
4,COD,ESP,14
5,COD,PER,1
6,COD,PAN,3
7,COD,CRI,2
8,COD,ECU,1
9,COD,VAT,2
10,COD,HND,2
11,ISR,RUS,1
12,ISR,COL,1
13,ISR,ARG,4
14,ISR,DOM,4
15,ISR,ESP,3
16,ISR,MEX,5
17,ISR,PAN,4
18,ISR,LBN,1
19,AFG,MEX,258
20,AFG,ESP,615
21,AFG,DOM,91
22,AFG,CRI,26
23,AFG,RUS,33
24,AFG,ARG,189
25,AFG,USA,43
26,AFG,PAN,40
27,AFG,PER,15
28,AFG,COL,20
29,AFG,PRI,51
30,AFG,CHL,31
31,AFG,VEN,61
32,AFG,URY,18
33,AFG,NIC,8
34,AFG,HND,11
35,AFG,CUB,6
36,AFG,SLV,11
37,AFG, VE,2
38,AFG,BOL,6
39,AFG,ECU,13
40,AFG,ITA,11
41,AFG,GBR,2
42,AFG, ES,6
43,ETH,ESP,5
44,HTI,DOM,22
45,HTI,SLV,1
46,HTI,CHL,13
47,HTI,MEX,15
48,HTI,ARG,9
49,HTI,ESP,11
50,HTI,VEN,6
51,HTI,ECU,1
52,HTI,CUB,2
53,HTI,RUS,1
54,HTI,CRI,1
55,HTI,PAN,3
56,HTI,ITA,1
57,HTI,URY,1
58,HTI,USA,1
59,TUR,MEX,8
60,TUR,CUB,1
61,TUR,CHL,13
62,TUR,ARG,2
63,TUR,ESP,2
64,TUR,DOM,3
65,TUR,PRI,1
66,KEN,ESP,24
67,KEN,ARG,11
68,KEN,MEX,29
69,KEN,CHL,1
70,KEN,PER,2
71,KEN,USA,1
72,KEN,ITA,1
73,KEN,PRY,1
74,KEN,COL,3
75,KEN,VEN,2
76,KEN,HND,4
77,KEN,DOM,10
78,KEN,SLV,1
79,KEN,ECU,2
80,KEN,PRI,4
81,KEN,CUB,1
82,SOM,ARG,7
83,SOM,ESP,7
84,SOM,CRI,2
85,SOM,MEX,10
86,SOM,ECU,2
87,SOM,DOM,4
88,SOM, ES,1
89,SOM,NIC,1
90,SOM,CUB,3
91,SOM,VEN,1
92,SOM,CHL,1
93,SOM,RUS,1
94,SOM,PAN,1
95,SOM,COL,1
96,SOM,USA,2
97,SOM,SLV,1
98,RUS,ESP,5
99,RUS,ARG,1
100,RUS,MEX,1
101,MMR,ESP,5
102,MMR,MEX,2
103,MMR, AR,1
104,MMR,ARG,4
105,MMR,DOM,3
106,MMR,USA,1
107,THA,MEX,10
108,THA,ESP,11
109,THA,ARG,7
110,THA,DOM,2
111,THA,VEN,2
112,THA,CUB,1
113,THA,CRI,1
114,THA,RUS,1
115,THA,BOL,1
116,THA,PRY,1
117,MEX,CRI,5
118,MEX,MEX,2017
119,MEX, VE,1
120,MEX,ARG,53
121,MEX,CUB,1
122,MEX,DOM,7
123,MEX, AR,27
124,MEX,PER,5
125,MEX,USA,11
126,MEX,PRI,4
127,MEX,BOL,2
128,MEX,ESP,14
129,MEX,NIC,6
130,MEX,VEN,8
131,MEX,CHL,17
132,MEX,ITA,1
133,MEX,GTM,6
134,MEX,SLV,4
135,MEX,HND,3
136,MEX,GBR,2
137,MEX,RUS,1
138,MEX,PAN,1
139,MEX,COL,1
140,CHN,URY,2
141,CHN,ECU,2
142,CHN,ESP,13
143,CHN,SLV,1
144,CHN,CHL,1
145,CHN,MEX,40
146,CHN,ARG,5
147,CHN,HND,1
148,CHN,PER,1
149,CHN,VEN,3
150,CHN,DOM,3
151,CHN,PRY,1
152,CHN,PAN,1
153,CHN,PRI,1
154,CHN,COL,2
155,CHN,GTM,1
156,NOR,ESP,2
157,PHL,CHL,1
158,PHL,MEX,4
159,PHL,PRI,1
160,PHL,DOM,1
161,PHL,ESP,1
162,CAN,CUB,1
163,CAN,ESP,5
164,CAN,CAN,2
165,NIC,CRI,1
166,NIC,DOM,4
167,NIC,NIC,40
168,NIC,ARG,1
169,NIC,CHL,1
170,NIC,USA,1
171,NIC,MEX,2
172,NIC,ECU,1
173,NIC,SLV,1
174,CAF,ESP,1
175,CAF,MEX,1
176,BRA,ARG,28
177,BRA,COL,2
178,BRA,PER,4
179,BRA,URY,6
180,BRA,MEX,44
181,BRA,DOM,4
182,BRA,USA,2
183,BRA,BOL,3
184,BRA,VEN,7
185,BRA,PAN,1
186,BRA,ESP,17
187,BRA,CUB,2
188,BRA,CHL,5
189,BRA, ES,1
190,BRA,RUS,2
191,BRA, AR,2
192,BRA,ECU,3
193,BRA,PRI,2
194,MLI,MEX,41
195,MLI,ESP,64
196,MLI,ECU,4
197,MLI,DOM,11
198,MLI,BOL,2
199,MLI,CUB,2
200,MLI,ARG,18
201,MLI,PRI,2
202,MLI,HND,3
203,MLI,COL,6
204,MLI,VEN,7
205,MLI,SLV,6
206,MLI,CHL,30
207,MLI,VAT,2
208,MLI,GNQ,2
209,MLI, ES,1
210,MLI,NIC,1
211,MLI,PAN,2
212,MLI,PER,2
213,BFA,ARG,20
214,BFA,MEX,35
215,BFA,ECU,2
216,BFA,VAT,8
217,BFA,DOM,17
218,BFA,USA,2
219,BFA,CRI,2
220,BFA,ESP,32
221,BFA,CHL,1
222,BFA,HND,1
223,BFA,PER,2
224,BFA,RUS,1
225,BFA,COL,1
226,BFA,VEN,1
227,BFA,GTM,2
228,PRT, ES,1
229,NGA,URY,1
230,NGA,SLV,2
231,NGA,MEX,47
232,NGA, ES,1
233,NGA,GTM,4
234,NGA,ARG,16
235,NGA,ESP,43
236,NGA,DOM,10
237,NGA,USA,1
238,NGA,VAT,11
239,NGA,CRI,4
240,NGA,HND,2
241,NGA,CUB,2
242,NGA,COL,3
243,NGA,VEN,3
244,NGA,GNQ,5
245,NGA,ECU,2
246,NGA,CHL,12
247,NGA,ITA,1
248,NGA,PAN,1
249,SDN,CRI,1
250,SDN,MEX,2
251,SDN,ESP,2
252,BEN,ARG,1
253,GRC,BOL,2
254,GRC,ESP,2
255,GRC,MEX,1
256,GRC,CUB,2
257,GRC,ARG,1
258,CMR,ARG,1
259,CMR,MEX,5
