,event_country,report_country,art_num
0,COD,COD,9
1,COD,SEN,5
2,COD,BEN,3
3,COD,FRA,18
4,COD,CHE,15
5,COD,BEL,10
6,COD,NCL,7
7,COD,VAT,3
8,COD,DZA,3
9,COD,CMR,4
10,COD,RWA,1
11,COD,COG,4
12,COD,TCD,1
13,COD,TUN,1
14,COD,CIV,2
15,ISR,ISR,2
16,ISR,NCL,1
17,AFG,CHN,22
18,AFG,CHE,111
19,AFG,MAR,10
20,AFG,CAN,36
21,AFG,SEN,14
22,AFG,FRA,154
23,AFG,LUX,43
24,AFG,CUB,1
25,AFG,DZA,13
26,AFG,NCL,35
27,AFG,BEL,113
28,AFG,RUS,10
29,AFG,LBN,22
30,AFG,MUS,1
31,AFG,CZE,3
32,AFG,TUN,2
33,AFG,IRN,3
34,AFG,ESP,4
35,AFG,CAF,4
36,AFG,CMR,4
37,AFG,BEN,9
38,AFG,TCD,3
39,AFG,GIN,2
40,AFG,ISR,1
41,ETH,LUX,2
42,ETH,BEL,2
43,ETH,SEN,2
44,ETH,BEN,1
45,ETH,FRA,3
46,ETH,MAR,1
47,ETH,CHE,2
48,ETH,COG,1
49,ETH,CMR,1
50,HTI,HTI,10
51,HTI,FRA,3
52,HTI,TUN,2
53,HTI,USA,1
54,HTI,CHE,4
55,HTI,BEL,4
56,HTI,SEN,1
57,HTI,CAN,2
58,HTI,LUX,1
59,HTI,CMR,1
60,TUR,LUX,1
61,TUR,GIN,1
62,TUR,MLI,10
63,TUR,FRA,4
64,LBY,GAB,3
65,LBY,BEL,2
66,LBY,TUN,2
67,LBY,DZA,6
68,LBY,FRA,6
69,LBY,MRT,1
70,LBY,MLI,2
71,LBY,TCD,1
72,LBY,LUX,1
73,LBY,BEN,1
74,LBY,VNM,1
75,KEN,LBN,1
76,KEN,FRA,11
77,KEN,CHE,4
78,KEN,RUS,2
79,KEN,LUX,2
80,KEN,BEL,14
81,KEN,COG,2
82,KEN,REU,1
83,KEN,CAN,3
84,KEN,TUN,1
85,KEN,SEN,9
86,KEN,CMR,3
87,KEN,COM,1
88,KEN,MLI,4
89,KEN,BEN,3
90,KEN,DEU,2
91,KEN,MAR,2
92,KEN,DZA,2
93,KEN,GUF,2
94,KEN,GLP,2
95,KEN,CIV,1
96,KEN,MRT,1
97,SOM,FRA,9
98,SOM,CAN,2
99,SOM,TCD,1
100,SOM,SEN,3
101,SOM,CHE,1
102,SOM,TUN,1
103,SOM,BEN,1
104,SOM,BEL,2
105,SOM,DZA,1
106,SOM,LUX,1
107,RUS,FRA,4
108,MMR,FRA,11
109,MMR,MLI,21
110,MMR,ISR,1
111,MMR,CAF,1
112,MMR,CHE,1
113,MMR,MTQ,1
114,MMR,GLP,1
115,MMR,GUF,1
116,MMR,LUX,1
117,THA,MLI,2
118,THA,FRA,8
119,THA,ESP,1
120,THA,CHE,2
121,THA,CAN,1
122,THA,RUS,1
123,CHN,BFA,1
124,CHN,BEL,3
125,CHN,SEN,1
126,CHN,MAR,1
127,CHN,TUN,1
128,CHN,MLI,3
129,CHN,FRA,7
130,CHN,MRT,1
131,CAN,CAN,78
132,CAN,FRA,3
133,CAN,TCD,1
134,CAN,TUN,1
135,CAN,SEN,1
136,CAN,COG,1
137,CAN,CHE,1
138,CAN,BEL,1
139,CAF,TCD,1
140,CAF,CAF,5
141,CAF,FRA,2
142,CAF,BEN,1
143,BRA,CHL,1
144,BRA,CAN,3
145,BRA,FRA,4
146,BRA,BEL,1
147,BRA,LUX,1
148,BRA,MLI,7
149,MLI,FRA,48
150,MLI,BEL,25
151,MLI,MLI,299
152,MLI,DZA,13
153,MLI,MRT,3
154,MLI,LUX,8
155,MLI,GIN,5
156,MLI,CHE,26
157,MLI,SEN,29
158,MLI,TUN,3
159,MLI,BFA,4
160,MLI,BEN,5
161,MLI,CAN,4
162,MLI,RUS,1
163,MLI,NCL,3
164,MLI,CMR,7
165,MLI,COG,3
166,MLI,CAF,7
167,MLI,TCD,3
168,MLI,VAT,1
169,MLI,CIV,3
170,MLI,GAB,2
171,MLI,LBN,1
172,MLI,MDG,1
173,MLI,MAR,1
174,BFA,BFA,128
175,BFA,RUS,3
176,BFA,CAN,7
177,BFA,SEN,45
178,BFA,NCL,11
179,BFA,FRA,59
180,BFA,BEL,5
181,BFA,CHE,15
182,BFA,TCD,16
183,BFA,DZA,10
184,BFA,CIV,24
185,BFA,BEN,9
186,BFA,MAR,3
187,BFA,VAT,13
188,BFA,CAF,11
189,BFA,CMR,11
190,BFA,COG,11
191,BFA,MLI,29
192,BFA,LUX,3
193,BFA,GAB,5
194,BFA,GIN,6
195,BFA,MRT,5
196,BFA,TUN,1
197,BFA,CZE,1
198,BFA,LBN,2
199,BFA,TGO,1
200,PRT,TUN,1
201,PRT,LUX,1
202,NGA,SEN,20
203,NGA,FRA,36
204,NGA,CHE,14
205,NGA,BEL,10
206,NGA,LUX,2
207,NGA,DZA,6
208,NGA,BGR,2
209,NGA,RUS,5
210,NGA,NCL,2
211,NGA,TCD,6
212,NGA,BFA,1
213,NGA,BEN,8
214,NGA,CMR,7
215,NGA,CAF,7
216,NGA,COG,3
217,NGA,TUN,1
218,NGA,VAT,9
219,NGA,MLI,7
220,NGA,CIV,4
221,NGA,LBN,1
222,NGA,MDG,1
223,MEX,NCL,1
224,MEX,CHE,2
225,MEX,BEL,1
226,MEX,FRA,5
227,MEX,LBN,1
228,MEX,CAN,1
229,MEX,LUX,1
230,SDN,CAN,1
231,SDN,VAT,2
232,SDN,LBN,1
233,SDN,SEN,2
234,SDN,FRA,1
235,SDN,LUX,1
236,SDN,CIV,1
237,SDN,MLI,2
238,BEN,BEN,14
239,BEN,CMR,1
240,BEN,CAF,1
241,BEN,COG,1
242,BEN,TCD,1
243,BEN,CIV,2
244,GRC,BEN,3
245,GRC,BEL,19
246,GRC,LUX,1
247,GRC,FRA,1
248,GRC,IRN,1
249,CMR,FRA,2
250,CMR,CIV,2
251,CMR,CMR,7
252,CMR,MLI,2
253,CMR,MAR,1
254,CMR,SEN,3
255,CMR,BEL,1
256,CMR,NCL,1
257,POL,BEL,14
258,POL,LUX,1
259,VEN,ESP,1
260,VEN,FRA,1
261,BGD,FRA,2
262,BEL,BEL,36
263,CYP,LUX,1
264,CYP,CAF,1
265,CYP,BEL,1
266,CYP,FRA,1
267,TCD,TCD,39
268,TCD,FRA,17
269,TCD,CMR,5
270,TCD,CAF,2
271,TCD,COG,2
272,TCD,CIV,1
273,TCD,NCL,3
274,TCD,CHE,2
275,TCD,BFA,4
276,TCD,SEN,4
277,TCD,TGO,1
278,TCD,BEN,2
279,TCD,MRT,1
280,TCD,GIN,1
281,TCD,MLI,2
282,FRA,FRA,405
283,FRA,NCL,7
284,FRA,BEL,156
285,FRA,LUX,20
286,FRA,MAR,4
287,FRA,CHE,14
288,FRA,ISR,3
289,FRA,TUN,2
290,FRA,SEN,7
291,FRA,BEN,5
292,FRA,CAN,13
293,FRA,DZA,2
294,FRA,RUS,21
295,FRA,LBN,1
296,FRA,GUF,6
297,FRA,MTQ,7
298,FRA,CHN,1
299,FRA,GLP,6
300,FRA,ESP,1
301,FRA,MCO,5
302,FRA,TCD,2
303,FRA,COG,2
304,FRA,CAF,1
305,FRA,REU,1
306,FRA,MLI,1
307,FRA,ARM,1
308,FRA,IRN,1
309,MDV,CHE,2
310,DZA,DZA,40
311,DZA,ESP,1
312,DZA,FRA,4
313,DZA,MAR,1
314,LBN,LBN,6
315,LBN,CHN,1
316,LBN,LUX,2
317,LBN,ISR,2
318,LBN,CHE,5
319,LBN,FRA,5
320,LBN,BEL,2
321,LBN,DZA,1
322,LBN,CAN,1
323,LBN,TGO,1
324,EGY,FRA,3
325,EGY,SEN,1
326,EGY,CHE,1
327,EGY,DZA,1
328,NER,TCD,4
