,event_country,report_country,art_num
0,CZE,PRI,1
1,CZE,CZE,1
2,CZE,MEX,6
3,SLV,SLV,388
4,SLV,ARG,26
5,SLV,ITA,2
6,SLV,DOM,25
7,SLV,CRI,15
8,SLV,NIC,21
9,SLV,MEX,99
10,SLV,HND,24
11,SLV,GTM,20
12,SLV,CUB,6
13,SLV,PRI,5
14,SLV,ECU,3
15,SLV,ESP,28
16,SLV,VEN,22
17,SLV,CHL,2
18,SLV,RUS,6
19,SLV,USA,7
20,SLV,PAN,11
21,SLV, VE,1
22,SLV,URY,3
23,SLV,VAT,1
24,SLV,BOL,1
25,SLV,PER,1
26,IDN,DOM,4
27,IDN,CHL,1
28,IDN,MEX,20
29,IDN,VNM,4
30,IDN,USA,1
31,IDN,NIC,1
32,IDN,PAN,1
33,IDN,ARG,1
34,IDN,ITA,1
35,IDN,PER,1
36,IDN,VEN,1
37,IDN,BOL,1
38,IDN,RUS,1
39,IDN,ESP,7
40,IDN,COL,2
41,BRA,ESP,30
42,BRA,PAN,9
43,BRA,MEX,51
44,BRA,CUB,7
45,BRA,BOL,8
46,BRA,CHL,6
47,BRA,VEN,25
48,BRA,ARG,37
49,BRA,PRI,5
50,BRA,ECU,12
51,BRA,URY,12
52,BRA, VE,2
53,BRA,DOM,13
54,BRA,NIC,5
55,BRA,HND,2
56,BRA,PER,4
57,BRA,ITA,3
58,BRA,COL,2
59,BRA,PRY,1
60,BRA,CRI,1
61,PHL,ARG,21
62,PHL,PAN,4
63,PHL,MEX,34
64,PHL,COL,1
65,PHL,CRI,3
66,PHL,ESP,55
67,PHL,HND,2
68,PHL,USA,1
69,PHL,DOM,11
70,PHL,PRI,5
71,PHL,ITA,2
72,PHL,VEN,6
73,PHL,ECU,4
74,PHL,VNM,2
75,PHL,NIC,3
76,PHL,CHL,6
77,PHL,GBR,1
78,PHL,GTM,2
79,PHL,URY,1
80,PHL,CUB,2
81,PHL,PRY,2
82,PHL,SLV,2
83,PHL,BOL,2
84,PHL,VAT,1
85,TUR,ESP,129
86,TUR,VEN,45
87,TUR, ES,6
88,TUR,MEX,136
89,TUR,ARG,52
90,TUR,RUS,11
91,TUR,SLV,9
92,TUR,COL,13
93,TUR,DOM,33
94,TUR,NIC,5
95,TUR,HND,6
96,TUR,BOL,8
97,TUR,CRI,11
98,TUR,CUB,9
99,TUR,GTM,9
100,TUR,PRI,10
101,TUR,URY,3
102,TUR,PER,13
103,TUR,ITA,3
104,TUR,CHL,17
105,TUR,ECU,4
106,TUR,USA,3
107,TUR,PAN,3
108,TUR,PRY,2
109,TUR,BLR,1
110,RUS,HND,5
111,RUS,CUB,1
112,RUS,VEN,11
113,RUS,ARG,15
114,RUS,PAN,2
115,RUS,PER,4
116,RUS,MEX,23
117,RUS,ESP,11
118,RUS,NIC,1
119,RUS,CHL,2
120,RUS,DOM,2
121,RUS,PRI,1
122,RUS,URY,1
123,RUS,USA,1
124,RUS,COL,1
125,RUS,CRI,2
126,RUS,ECU,2
127,RUS,GTM,2
128,COD,ESP,1
129,COD,MEX,4
130,COD,NIC,1
131,GBR,ESP,54
132,GBR,CRI,2
133,GBR,PER,1
134,GBR,CUB,1
135,GBR,MEX,42
136,GBR,ARG,14
137,GBR,COL,4
138,GBR,ECU,2
139,GBR,URY,2
140,GBR,HND,3
141,GBR,DOM,8
142,GBR,SLV,1
143,GBR,CHL,1
144,GBR,PAN,2
145,GBR,VEN,5
146,GBR,NIC,1
147,GBR,PRI,2
148,GBR,ITA,2
149,GBR, ES,1
150,GBR,USA,2
151,GBR,ABW,1
152,HRV,VEN,17
153,HRV,ESP,30
154,HRV,MEX,31
155,HRV,ARG,11
156,HRV,COL,6
157,HRV,BOL,2
158,HRV,CHL,1
159,HRV,SLV,3
160,HRV,URY,1
161,HRV,PER,3
162,HRV,USA,2
163,HRV,NIC,1
164,HRV,GTM,2
165,HRV,HND,2
166,HRV,ECU,1
167,HRV,CUB,1
168,HRV,DOM,5
169,HRV,PRI,3
170,HRV,VAT,3
171,IND,MEX,73
172,IND,PER,1
173,IND,ARG,18
174,IND,USA,6
175,IND,PRI,5
176,IND,ESP,44
177,IND,DOM,11
178,IND,HND,3
179,IND,VEN,9
180,IND,RUS,1
181,IND,NIC,3
182,IND,GTM,4
183,IND,PAN,7
184,IND,CRI,1
185,IND,ECU,1
186,IND,COL,4
187,IND,SLV,2
188,IND,URY,3
189,IND, ES,1
190,IND,ITA,1
191,FRA,ESP,29
192,FRA,PER,1
193,FRA,ARG,2
194,FRA,ECU,2
195,FRA,CHL,1
196,FRA,VEN,2
197,FRA,PAN,2
198,FRA,COL,1
199,FRA,MEX,13
200,FRA,ITA,1
201,FRA,CRI,2
202,FRA,PRI,1
203,FRA,CUB,1
204,FRA,RUS,1
205,DEU,ARG,3
206,DEU,PAN,4
207,DEU,DOM,6
208,DEU,VEN,4
209,DEU,MEX,16
210,DEU,ESP,11
211,DEU,NIC,1
212,DEU,COL,1
213,DEU,ECU,1
214,DEU,CRI,2
215,DEU,HND,1
216,DEU,PRI,2
217,DEU,USA,1
218,DEU,CHL,2
219,VUT,MEX,1
220,PER,PER,16
221,PER,ESP,6
222,PER,BOL,2
223,PER,DOM,2
224,PER,ARG,2
225,PER,MEX,2
226,PER,PAN,1
227,PER,CHL,3
228,PER,VEN,2
229,PER,COL,1
230,PER,ECU,1
231,SVN,MEX,11
232,SVN,PRI,1
233,SVN,ESP,1
234,SVN,VEN,1
235,SVN,ARG,1
236,ESP,ESP,50
237,ESP,MEX,2
238,ESP,COL,1
239,ESP,GTM,2
240,HND,HND,50
241,HND,MEX,17
242,HND,NIC,3
243,HND,ARG,6
244,HND,SLV,3
245,HND,VEN,4
246,HND,DOM,5
247,HND,URY,1
248,HND,PAN,1
249,HND,CRI,2
250,HND,GTM,1
251,HND,PRI,3
252,CHN,MEX,40
253,CHN,ARG,6
254,CHN,NIC,2
255,CHN,VEN,7
256,CHN,ESP,23
257,CHN,DOM,2
258,CHN,PAN,3
259,CHN,HND,2
260,CHN,CHL,1
261,CHN,RUS,1
262,CHN,PRI,1
263,CHN,CRI,1
264,IRN,VEN,13
265,IRN,MEX,22
266,IRN,ARG,7
267,IRN,RUS,2
268,IRN,SLV,3
269,IRN,COL,1
270,IRN,DOM,3
271,IRN,NIC,2
272,IRN,ESP,11
273,IRN,HND,1
274,IRN,BOL,3
275,IRN,CRI,1
276,IRN,CUB,1
277,IRN,GTM,2
278,IRN,URY,2
279,IRN,PRI,1
280,IRN,PAN,2
281,IRN,PER,2
282,VNM,VNM,2
283,VNM,CUB,1
284,BOL,BOL,38
285,BOL,HND,2
286,BOL,MEX,9
287,BOL,COL,2
288,BOL,ARG,3
289,BOL,CRI,3
290,BOL,PRI,1
291,BOL,ESP,11
292,BOL,DOM,1
293,BOL,URY,1
294,GRC,NIC,1
295,COL,PAN,1
296,COL,COL,4
297,COL,VEN,1
298,MEX,MEX,13
299,MEX,ARG,1
300,GTM,MEX,119
301,GTM,GTM,84
302,GTM,CRI,7
303,GTM,SLV,14
304,GTM,ARG,13
305,GTM,NIC,6
306,GTM,CUB,1
307,GTM,HND,13
308,GTM,ECU,3
309,GTM,DOM,11
310,GTM,PRI,4
311,GTM,ESP,8
312,GTM,VEN,13
313,GTM,USA,4
314,GTM, VE,1
315,GTM,PAN,3
316,GTM,CHL,1
317,GTM,URY,1
318,GTM,PER,2
319,MOZ,ESP,2
320,YEM,MEX,1
321,YEM,NIC,1
322,RWA,MEX,3
323,RWA,NIC,1
324,ARG,ARG,84
325,ARG,PER,1
326,NZL,MEX,1
327,NZL,NIC,1
328,NZL,CRI,1
329,NZL,ARG,1
330,BGD,MEX,57
331,BGD,PER,1
332,BGD,ARG,15
333,BGD,USA,6
334,BGD,PRI,5
